person_id, gender, year_of_birth, person_of_color, education_level, city_of_residence, scholarship_recipient, previous_job_experience, pre_training_wage, training_start_date, training_status, training_end_date, training_type, exit_status, classroom_or_online, job_placement_date, hiring_job_title, hiring_company, starting_wage, second_job_title, second_job_company, second_starting_wage
J-1028, Unreported, 1991, no, Bachelors, Minneapolis, false, Temp, 14.47, 14/06/2016, Withdrew, 05/09/2016, UX, Institutionalized, Online, 10/06/2017, Junior Designer, Bright Health, 26.90, , ,
J-1029, Male, 2000, unreported, Associates, Plymouth, true, Manager, 13.91, 14/08/2017, Withdrew, 11/05/2018, QA, Incarcerated, Online, 05/08/2018, IT Support, Branch Messenger, 28.57, , ,
J-1030, Unreported, 1987, unreported, Bachelors, Eden Prairie, true, Employee, 9.50, 31/08/2015, Removed, 28/02/2016, IT Fundamentals, Entered Employment, Online, 18/11/2016, Temp Developer, Google, 30.32, , ,
J-1031, Female, 1995, yes, Bachelors, Roseville, true, Temp, 11.62, 23/02/2017, Removed, 24/07/2017, QA, Enrolled in Additional Training, Classroom, 17/08/2017, IT Support, Osborn 370, 25.99, , ,
J-1032, Male, 1990, yes, HS/GED, Brooklyn Center, false, Team Member, 14.35, 16/10/2017, Withdrew, 14/03/2018, IT Fundamentals, Enrolled in Additional Training, Classroom, 15/11/2018, Junior Engineer, Osborn 370, 27.67, Designer, Bite Squad, 29.22
J-1033, Other, 1951, no, HS/GED, Robbinsdale, true, Temp, 12.14, 09/10/2017, Removed, 18/12/2017, QA, Institutionalized, Online, 14/05/2018, Developer, Branch Messenger, 28.10, , ,
J-1034, Other, 1997, yes, Bachelors, Brooklyn Center, false, , 15.20, 20/01/2017, Withdrew, 01/05/2017, QA, Incarcerated, Online, 24/09/2017, Programmer, Upsie, 26.47, , ,
J-1035, Unreported, 1997, yes, Graduate and Beyond, Eden Prairie, false, Contractor, 15.04, 11/08/2016, Removed, 10/05/2017, UX, Entered Employment, Online, 03/05/2018, Junior Developer, Loup Ventures, 25.37, , ,
J-1036, Female, 1990, unreported, Some College, Minneapolis, false, Contractor, 15.45, 15/01/2016, Withdrew, 21/06/2016, IT Fundamentals, Entered Employment, Classroom, 21/04/2017, Project Manager, Great North Labs, 30.48, , ,
J-1037, Male, 1984, yes, Associates, Roseville, true, Associate, 14.17, 24/01/2016, Graduated, 19/05/2016, UX, Entered Employment, Classroom, 19/10/2016, Junior Developer, Merrill Corporation, 28.91, , ,
J-1038, Male, 1988, unreported, Graduate and Beyond, Robbinsdale, false, Cashier, 9.82, 11/08/2016, Graduated, 16/04/2017, UX, Entered Employment, Online, 20/10/2017, Web Developer, Upsie, 26.99, , ,
J-1039, Female, 1994, unreported, Associates, Plymouth, true, Representative, 14.66, 07/05/2017, Graduated, 11/08/2017, IT Fundamentals, Institutionalized, Classroom, 02/09/2017, Developer, Nerdery, 29.44, , ,
J-1040, Male, 1957, no, Associates, Edina, true, Temp, 13.83, 24/05/2017, Withdrew, 12/01/2018, QA, Entered Employment, Online, 26/01/2019, Designer, Bright Health, 28.49, , ,
J-1041, Male, 1985, no, Bachelors, Robbinsdale, false, Associate, 13.10, 02/04/2015, Graduated, 24/01/2016, QA, Health/Medical, Online, 18/04/2016, Junior Engineer, Aftercode, 30.16, , ,
J-1042, Unreported, 1994, unreported, Graduate and Beyond, Eden Prairie, false, Support, 14.96, 20/05/2017, Removed, 14/10/2017, IT Fundamentals, Health/Medical, Classroom, 23/02/2018, Junior Engineer, Aftercode, 27.94, Web Developer, Nerdery, 26.74
J-1043, Male, 1960, no, HS/GED, Eden Prairie, true, Manager, 12.35, 02/09/2017, Graduated, 05/05/2018, QA, Entered Employment, Classroom, 21/04/2019, Project Manager, Code 42, 29.23, , ,
J-1044, Male, 1974, unreported, Graduate and Beyond, Edina, false, Support, 11.04, 09/12/2017, Withdrew, 03/07/2018, UX, Incarcerated, Classroom, 21/02/2019, Temp Developer, Bright Health, 27.79, , ,
J-1045, Other, 1965, unreported, Bachelors, Plymouth, true, Temp, 14.24, 30/10/2015, Removed, 06/03/2016, IT Fundamentals, Institutionalized, Classroom, 07/01/2017, Designer, Bind Benefits, 26.84, , ,
J-1046, Male, 1955, yes, HS/GED, Edina, false, Support, 11.99, 31/05/2017, Removed, 22/08/2017, QA, Entered Military, Classroom, 09/01/2018, Developer, Foodsby, 24.06, , ,
J-1047, Female, 1970, no, Bachelors, Robbinsdale, false, Team Member, 12.73, 03/04/2017, Graduated, 11/10/2017, IT Fundamentals, Entered Employment, Online, 12/04/2018, Programmer, Foodsby, 30.55, , ,
J-1048, Male, 1997, unreported, HS/GED, Eden Prairie, true, Employee, 10.41, 05/09/2016, Withdrew, 22/01/2017, UX, Incarcerated, Classroom, 04/04/2017, Programmer, Osborn 370, 28.02, , ,
J-1049, Male, 1951, unreported, Associates, Plymouth, true, Manager, 13.17, 27/08/2017, Removed, 01/10/2017, UX, Health/Medical, Online, , , , , , ,
J-1050, Unreported, 1958, yes, Associates, Minneapolis, true, Representative, 10.21, 02/01/2015, Graduated, 04/05/2015, QA, Entered Military, Classroom, 06/12/2015, IT Support, Branch Messenger, 28.74, , ,
J-1051, Other, 1965, unreported, HS/GED, Edina, false, Cashier, 15.80, 31/12/2016, Graduated, 09/06/2017, QA, Health/Medical, Online, 24/12/2017, Project Manager, Merrill Corporation, 26.23, , ,
J-1052, Female, 1994, yes, HS/GED, Edina, false, Supervisor, 9.18, 16/03/2017, Removed, 16/05/2017, IT Fundamentals, Institutionalized, Online, 12/12/2017, Junior Developer, Microsoft, 27.73, , ,
J-1053, Male, 1972, unreported, Associates, Brooklyn Center, false, , 13.57, 14/05/2017, Graduated, 18/07/2017, QA, Institutionalized, Classroom, 12/11/2017, Temp Designer, Merrill Corporation, 29.33, , ,
J-1054, Female, 1961, yes, Bachelors, Plymouth, false, Manager, 11.35, 18/07/2017, Withdrew, 17/09/2017, IT Fundamentals, Enrolled in Additional Training, Classroom, 01/10/2017, IT Support, Branch Messenger, 26.46, Developer, Loup Ventures, 28.16
J-1055, Male, 1977, no, Bachelors, St. Paul, false, Manager, 10.79, 17/05/2016, Graduated, 24/08/2016, QA, Entered Military, Classroom, 16/03/2017, Junior Designer, Foodsby, 31.66, , ,
J-1056, Male, 1976, no, HS/GED, Brooklyn Center, true, Contractor, 10.23, 26/09/2015, Removed, 21/02/2016, IT Fundamentals, Entered Employment, Classroom, 26/07/2016, Junior Developer, Loup Ventures, 30.28, , ,
J-1057, Female, 1982, unreported, Graduate and Beyond, Minneapolis, true, Supervisor, 13.11, 21/08/2016, Withdrew, 11/04/2017, IT Fundamentals, Institutionalized, Classroom, 14/01/2018, IT Support, Osborn 370, 29.01, , ,
J-1058, Male, 1963, yes, Bachelors, St. Paul, false, Representative, 10.22, 19/12/2016, Graduated, 17/07/2017, UX, Incarcerated, Online, 07/09/2017, Developer, Bind Benefits, 26.19, Junior Designer, Foodsby, 29.03
J-1059, Male, 1955, yes, Bachelors, Edina, true, , 11.02, 11/12/2016, Removed, 22/09/2017, UX, Incarcerated, Classroom, 17/07/2018, Developer, Bright Health, 28.12, , ,
J-1060, Unreported, 1995, no, Graduate and Beyond, St. Paul, false, Temp, 10.74, 20/05/2015, Withdrew, 05/09/2015, UX, Entered Employment, Online, 20/05/2016, Designer, Upsie, 24.04, Programmer, Bind Benefits, 29.74
J-1061, Female, 1993, unreported, HS/GED, Plymouth, false, Representative, 14.79, 04/03/2015, Graduated, 21/12/2015, QA, Entered Employment, Classroom, 20/03/2016, Web Developer, Foodsby, 24.48, Project Manager, Bind Benefits, 29.03
J-1062, Male, 1982, yes, Some College, Minneapolis, false, Support, 15.47, 24/08/2017, Removed, 24/03/2018, IT Fundamentals, Health/Medical, Classroom, 04/01/2019, Temp Designer, Bright Health, 28.48, Temp Designer, Apple, 28.24
J-1063, Other, 1999, unreported, HS/GED, Robbinsdale, false, , 15.01, 15/02/2016, Withdrew, 17/08/2016, IT Fundamentals, Institutionalized, Classroom, 14/04/2017, Programmer, Google, 25.68, , ,
J-1064, Other, 2000, yes, Associates, Minneapolis, true, Temp, 15.62, 15/02/2016, Graduated, 13/06/2016, QA, Incarcerated, Classroom, 19/11/2016, Junior Engineer, Aftercode, 31.16, , ,
J-1065, Unreported, 1977, no, HS/GED, Edina, true, Supervisor, 15.16, 30/12/2016, Withdrew, 11/06/2017, IT Fundamentals, Health/Medical, Classroom, 24/12/2017, Junior Engineer, Bright Health, 24.04, , ,
J-1066, Other, 1970, yes, Associates, Edina, false, Support, 14.67, 29/06/2017, Graduated, 13/12/2017, IT Fundamentals, Entered Military, Online, 25/05/2018, Temp Developer, Osborn 370, 27.93, , ,
J-1067, Unreported, 1987, unreported, Graduate and Beyond, Minneapolis, true, Temp, 15.34, 07/08/2016, Removed, 21/03/2017, UX, Incarcerated, Online, 23/09/2017, Programmer, Google, 24.20, , ,
J-1068, Female, 1952, unreported, Some College, Robbinsdale, false, Team Member, 14.57, 12/12/2016, Graduated, 09/09/2017, QA, Health/Medical, Classroom, 07/02/2018, IT Support, Aftercode, 25.24, , ,
J-1069, Female, 1964, no, HS/GED, Minneapolis, false, Representative, 11.25, 03/07/2016, Withdrew, 14/09/2016, QA, Entered Military, Classroom, 27/02/2017, Web Developer, Bright Health, 26.49, , ,
J-1070, Unreported, 1965, no, Associates, Robbinsdale, false, Associate, 14.45, 21/10/2015, Removed, 20/07/2016, UX, Incarcerated, Online, 17/02/2017, Temp Designer, Loup Ventures, 30.11, , ,
J-1071, Other, 1972, yes, Associates, Robbinsdale, true, Supervisor, 9.12, 04/12/2015, Graduated, 15/02/2016, QA, Incarcerated, Classroom, 16/08/2016, Temp Developer, Upsie, 28.67, Junior Developer, Code 42, 29.87
J-1072, Other, 1976, yes, Graduate and Beyond, Plymouth, true, Employee, 11.08, 20/01/2015, Withdrew, 04/06/2015, UX, Incarcerated, Online, 05/01/2016, IT Support, Aftercode, 27.82, , ,
J-1073, Female, 1975, yes, Some College, Minneapolis, true, Employee, 15.47, 12/06/2017, Removed, 07/08/2017, IT Fundamentals, Institutionalized, Online, 02/12/2017, Temp Developer, Loup Ventures, 26.27, Programmer, Bite Squad, 25.01
J-1074, Other, 1969, unreported, HS/GED, Eden Prairie, true, Employee, 13.10, 25/10/2017, Graduated, 28/03/2018, QA, Institutionalized, Classroom, 24/03/2019, Junior Engineer, Google, 26.65, , ,
J-1075, Unreported, 1955, unreported, Associates, Edina, true, , 13.42, 11/08/2015, Graduated, 18/02/2016, IT Fundamentals, Entered Military, Online, 23/08/2016, Web Developer, Nerdery, 28.20, , ,
J-1076, Male, 1990, unreported, HS/GED, Roseville, true, Associate, 13.67, 29/04/2017, Withdrew, 08/08/2017, UX, Enrolled in Additional Training, Online, 14/08/2018, Junior Developer, Branch Messenger, 27.40, , ,
J-1077, Female, 1964, yes, HS/GED, Minneapolis, true, Manager, 13.40, 09/06/2017, Graduated, 08/09/2017, IT Fundamentals, Entered Military, Classroom, 13/04/2018, Junior Engineer, Upsie, 27.66, Project Manager, Google, 29.03
J-1078, Other, 1955, no, HS/GED, Plymouth, false, , 10.62, 28/04/2016, Graduated, 18/08/2016, IT Fundamentals, Institutionalized, Online, 05/10/2016, Web Developer, Apple, 26.91, , ,
J-1079, Female, 1970, no, Graduate and Beyond, Robbinsdale, true, Support, 14.32, 15/06/2015, Withdrew, 03/12/2015, UX, Institutionalized, Online, 02/05/2016, Programmer, Foodsby, 30.82, , ,
J-1080, Other, 1979, no, HS/GED, Eden Prairie, true, Manager, 15.97, 30/03/2017, Graduated, 16/08/2017, UX, Health/Medical, Online, 03/09/2017, Web Developer, Merrill Corporation, 28.45, , ,
J-1081, Female, 1984, no, Associates, Minneapolis, true, , 11.99, 15/09/2017, Removed, 05/12/2017, QA, Incarcerated, Online, 10/04/2018, Temp Designer, Branch Messenger, 25.46, , ,
J-1082, Female, 1973, yes, Some College, Eden Prairie, false, Manager, 9.11, 18/08/2015, Graduated, 23/04/2016, UX, Enrolled in Additional Training, Online, 19/02/2017, Temp Designer, Merrill Corporation, 27.56, , ,
J-1083, Male, 1976, yes, Some College, Roseville, false, , 10.21, 06/08/2016, Withdrew, 28/12/2016, UX, Entered Military, Online, 18/01/2017, Temp Developer, Foodsby, 24.08, Web Developer, Branch Messenger, 30.30
J-1084, Female, 1978, yes, Bachelors, Roseville, true, Employee, 10.01, 20/04/2015, Withdrew, 10/10/2015, UX, Health/Medical, Online, 15/11/2015, Junior Engineer, Nerdery, 27.70, Junior Engineer, Osborn 370, 27.44
J-1085, Male, 1999, yes, Associates, Robbinsdale, false, Manager, 10.91, 09/09/2015, Withdrew, 28/03/2016, QA, Institutionalized, Online, 19/06/2016, Junior Developer, Bite Squad, 28.26, , ,
J-1086, Unreported, 1986, unreported, HS/GED, St. Paul, true, Associate, 9.38, 18/03/2015, Withdrew, 06/06/2015, UX, Institutionalized, Classroom, 23/09/2015, Junior Developer, Aftercode, 30.93, Temp Developer, Branch Messenger, 29.08
J-1087, Unreported, 1950, unreported, Some College, Minneapolis, false, Contractor, 9.45, 17/05/2017, Graduated, 16/01/2018, UX, Incarcerated, Classroom, 10/10/2018, IT Support, Bind Benefits, 25.10, , ,
J-1088, Male, 1983, unreported, Graduate and Beyond, Brooklyn Center, false, Employee, 14.97, 17/09/2016, Withdrew, 24/12/2016, IT Fundamentals, Entered Military, Online, 09/02/2017, Programmer, Foodsby, 29.97, , ,
J-1089, Other, 1962, unreported, Associates, Roseville, false, Temp, 14.47, 15/07/2016, Withdrew, 12/12/2016, UX, Entered Employment, Classroom, 04/02/2017, Temp Designer, Upsie, 29.05, , ,
J-1090, Female, 1990, unreported, Graduate and Beyond, Edina, false, Contractor, 10.07, 26/04/2015, Withdrew, 13/01/2016, QA, Entered Employment, Classroom, 26/04/2016, Junior Designer, Osborn 370, 25.13, , ,
J-1091, Other, 1980, yes, Associates, Edina, false, Associate, 11.81, 06/08/2015, Removed, 05/01/2016, UX, Enrolled in Additional Training, Classroom, 03/07/2016, Temp Developer, Osborn 370, 26.14, , ,
J-1092, Unreported, 1959, no, Some College, Eden Prairie, false, Employee, 10.97, 16/07/2017, Graduated, 20/10/2017, QA, Incarcerated, Online, 06/07/2018, Junior Engineer, Bind Benefits, 28.48, , ,
J-1093, Female, 1956, no, Bachelors, Brooklyn Center, false, Support, 10.65, 19/08/2017, Removed, 17/05/2018, QA, Health/Medical, Classroom, , , , , , ,
J-1094, Male, 1956, yes, HS/GED, Plymouth, true, Representative, 14.95, 03/06/2016, Withdrew, 02/03/2017, QA, Entered Military, Online, 04/09/2017, Developer, Bite Squad, 28.73, Project Manager, Aftercode, 30.74
J-1095, Male, 1969, yes, Graduate and Beyond, Plymouth, true, Support, 14.92, 20/10/2016, Removed, 04/12/2016, UX, Entered Military, Classroom, 16/03/2017, IT Support, Bite Squad, 28.43, , ,
J-1096, Male, 1955, yes, Bachelors, Eden Prairie, true, Representative, 9.40, 02/08/2017, Withdrew, 14/04/2018, IT Fundamentals, Enrolled in Additional Training, Online, 16/01/2019, Junior Engineer, Apple, 31.78, , ,
J-1097, Male, 1991, no, Associates, St. Paul, false, Team Member, 9.85, 14/01/2017, Withdrew, 06/04/2017, IT Fundamentals, Institutionalized, Classroom, 07/06/2017, Junior Designer, Great North Labs, 28.75, , ,
J-1098, Male, 1999, yes, Bachelors, Robbinsdale, false, Supervisor, 10.37, 06/05/2016, Graduated, 08/02/2017, IT Fundamentals, Entered Military, Online, 28/11/2017, Junior Engineer, Upsie, 28.53, , ,
J-1099, Other, 1969, no, HS/GED, Roseville, true, Supervisor, 11.67, 19/05/2015, Removed, 09/10/2015, QA, Incarcerated, Classroom, 01/01/2016, Temp Developer, Nerdery, 30.72, Junior Engineer, Apple, 29.27
J-1100, Female, 1996, yes, Some College, Minneapolis, false, Associate, 14.41, 20/01/2015, Graduated, 13/05/2015, UX, Health/Medical, Online, 28/08/2015, Designer, Nerdery, 26.52, , ,
