person_id, gender, year_of_birth, person_of_color, education_level, city_of_residence, scholarship_recipient, previous_job_experience, pre_training_wage, training_start_date, training_status, training_end_date, training_type, exit_status, classroom_or_online, job_placement_date, hiring_job_title, hiring_company, starting_wage, second_job_title, second_job_company, second_starting_wage
Y-1021, Unreported, 1993, no, Bachelors, Robbinsdale, true, Temp, 12.02, 11/01/2017, Withdrew, 04/09/2017, IT Fundamentals, Entered Military, Online, , , , , , ,
Y-1022, Unreported, 1971, unreported, HS/GED, Roseville, false, , 12.61, 27/02/2017, Removed, 08/06/2017, IT Fundamentals, Entered Military, Classroom, 08/10/2017, Junior Designer, Bind Benefits, 30.56, , ,
Y-1023, Unreported, 1981, no, Graduate and Beyond, Plymouth, false, , 15.73, 10/06/2017, Withdrew, 16/08/2017, UX, Enrolled in Additional Training, Classroom, 28/11/2017, Junior Engineer, Upsie, 25.69, Project Manager, Bright Health, 30.28
Y-1024, Unreported, 1950, no, Some College, Plymouth, false, Supervisor, 10.03, 23/09/2016, Graduated, 23/05/2017, QA, Enrolled in Additional Training, Classroom, 19/12/2017, Junior Engineer, Microsoft, 27.56, , ,
Y-1025, Unreported, 1969, no, Graduate and Beyond, St. Paul, false, Associate, 11.69, 26/11/2015, Withdrew, 17/08/2016, QA, Entered Employment, Online, 16/04/2017, Project Manager, Aftercode, 29.01, , ,
Y-1026, Female, 1963, yes, Bachelors, Brooklyn Center, true, Support, 15.81, 02/08/2016, Graduated, 11/12/2016, UX, Health/Medical, Classroom, 15/07/2017, Web Developer, Merrill Corporation, 25.78, , ,
Y-1027, Male, 1963, unreported, Some College, Roseville, false, Support, 9.22, 13/12/2016, Removed, 12/06/2017, QA, Health/Medical, Classroom, 17/01/2018, Web Developer, Bright Health, 28.04, , ,
Y-1028, Other, 1959, yes, Graduate and Beyond, Brooklyn Center, true, Employee, 14.77, 01/03/2016, Removed, 06/08/2016, IT Fundamentals, Incarcerated, Online, 02/05/2017, Programmer, Merrill Corporation, 26.44, , ,
Y-1029, Unreported, 1973, no, HS/GED, Edina, true, Supervisor, 15.48, 30/04/2017, Graduated, 03/08/2017, IT Fundamentals, Enrolled in Additional Training, Classroom, 04/11/2017, Temp Developer, Code 42, 26.96, Temp Developer, Bright Health, 30.89
Y-1030, Female, 1951, unreported, HS/GED, St. Paul, false, Associate, 9.24, 24/09/2015, Graduated, 02/01/2016, QA, Entered Military, Classroom, 03/02/2016, Web Developer, Loup Ventures, 25.93, , ,
Y-1031, Other, 1976, yes, Graduate and Beyond, Plymouth, true, Associate, 12.10, 07/06/2015, Withdrew, 21/10/2015, QA, Health/Medical, Classroom, 22/04/2016, Web Developer, Aftercode, 31.11, , ,
Y-1032, Female, 1963, yes, HS/GED, Brooklyn Center, false, Cashier, 10.08, 13/10/2016, Removed, 12/04/2017, IT Fundamentals, Institutionalized, Online, 24/07/2017, Junior Developer, Loup Ventures, 31.06, , ,
Y-1033, Unreported, 1989, yes, Associates, Brooklyn Center, true, Cashier, 11.28, 08/05/2016, Withdrew, 10/07/2016, QA, Health/Medical, Classroom, 01/03/2017, Junior Designer, Foodsby, 30.52, , ,
Y-1034, Other, 1997, no, Bachelors, Plymouth, true, Manager, 14.92, 04/09/2015, Withdrew, 16/03/2016, IT Fundamentals, Entered Military, Classroom, 28/04/2017, Web Developer, Aftercode, 26.51, , ,
Y-1035, Male, 1988, no, Associates, Robbinsdale, false, , 9.94, 08/12/2016, Graduated, 01/08/2017, UX, Entered Employment, Classroom, 22/01/2018, Junior Developer, Bite Squad, 24.71, , ,
Y-1036, Male, 1985, no, HS/GED, Brooklyn Center, true, , 10.07, 04/10/2015, Graduated, 22/01/2016, IT Fundamentals, Entered Employment, Classroom, 06/07/2016, Junior Engineer, Foodsby, 31.46, , ,
Y-1037, Other, 1958, yes, Graduate and Beyond, Brooklyn Center, false, Contractor, 9.31, 22/09/2017, Graduated, 22/05/2018, UX, Enrolled in Additional Training, Classroom, , , , , , ,
Y-1038, Male, 1986, no, Associates, Brooklyn Center, false, Employee, 11.76, 20/03/2017, Withdrew, 28/10/2017, UX, Entered Employment, Classroom, 05/09/2018, Project Manager, Osborn 370, 24.81, , ,
Y-1039, Unreported, 1993, no, Bachelors, St. Paul, false, Contractor, 14.61, 24/10/2017, Withdrew, 27/12/2017, UX, Entered Employment, Online, , , , , , ,
Y-1040, Unreported, 1966, no, HS/GED, Roseville, true, Associate, 11.51, 01/01/2017, Graduated, 18/10/2017, QA, Institutionalized, Classroom, 28/12/2017, Junior Developer, Great North Labs, 26.65, , ,
Y-1041, Unreported, 1974, yes, HS/GED, Brooklyn Center, true, Employee, 11.55, 29/10/2015, Removed, 09/06/2016, IT Fundamentals, Entered Employment, Classroom, 20/07/2016, Junior Developer, Bright Health, 29.35, Temp Designer, Merrill Corporation, 25.45
Y-1042, Male, 1960, yes, Associates, Roseville, true, Contractor, 12.28, 07/11/2015, Withdrew, 07/01/2016, UX, Health/Medical, Online, 25/09/2016, Web Developer, Osborn 370, 30.46, , ,
Y-1043, Male, 1968, yes, Graduate and Beyond, Brooklyn Center, true, Contractor, 12.14, 16/04/2016, Withdrew, 22/08/2016, UX, Institutionalized, Online, 27/07/2017, IT Support, Bind Benefits, 25.98, Developer, Foodsby, 31.08
Y-1044, Other, 1954, no, HS/GED, Robbinsdale, true, Contractor, 10.79, 05/02/2017, Withdrew, 17/09/2017, IT Fundamentals, Institutionalized, Classroom, 17/11/2017, Developer, Bite Squad, 29.89, , ,
Y-1045, Unreported, 1977, yes, Graduate and Beyond, Plymouth, true, Supervisor, 14.56, 31/05/2015, Removed, 16/11/2015, IT Fundamentals, Institutionalized, Online, 18/02/2016, Developer, Great North Labs, 30.50, , ,
Y-1046, Other, 1985, unreported, Some College, Brooklyn Center, false, Contractor, 10.60, 06/12/2017, In Training, , IT Fundamentals, , Classroom, , , , , , ,
Y-1047, Female, 1993, unreported, HS/GED, Plymouth, false, Supervisor, 13.96, 24/11/2016, Withdrew, 11/05/2017, IT Fundamentals, Enrolled in Additional Training, Classroom, 26/10/2017, Temp Designer, Microsoft, 29.16, , ,
Y-1048, Other, 1975, unreported, HS/GED, Robbinsdale, false, Team Member, 9.46, 23/10/2016, Graduated, 23/07/2017, IT Fundamentals, Entered Military, Classroom, 25/02/2018, Project Manager, Nerdery, 31.84, , ,
Y-1049, Female, 1985, unreported, Bachelors, Brooklyn Center, true, Team Member, 15.54, 26/01/2016, Withdrew, 05/06/2016, QA, Health/Medical, Classroom, 07/02/2017, Programmer, Foodsby, 30.78, , ,
Y-1050, Male, 1985, unreported, Graduate and Beyond, Edina, true, Team Member, 13.35, 26/01/2017, Withdrew, 18/08/2017, QA, Incarcerated, Classroom, 06/05/2018, Junior Engineer, Osborn 370, 27.18, , ,
Y-1051, Female, 1985, unreported, Associates, Eden Prairie, false, Cashier, 13.33, 15/01/2016, Removed, 28/07/2016, UX, Entered Military, Online, 21/11/2016, Junior Developer, Bind Benefits, 25.13, , ,
Y-1052, Female, 1994, yes, Graduate and Beyond, Roseville, true, Team Member, 12.69, 28/12/2017, Withdrew, 08/02/2018, UX, Enrolled in Additional Training, Classroom, 24/05/2018, Developer, Loup Ventures, 31.26, , ,
Y-1053, Unreported, 1961, no, HS/GED, Plymouth, true, Contractor, 11.22, 12/05/2017, Graduated, 14/08/2017, IT Fundamentals, Entered Military, Online, 08/10/2017, Developer, Bright Health, 31.09, , ,
Y-1054, Male, 1994, no, Bachelors, Roseville, false, , 12.52, 26/05/2016, Graduated, 14/12/2016, UX, Institutionalized, Classroom, 25/08/2017, Junior Engineer, Google, 28.38, Web Developer, Bind Benefits, 30.91
Y-1055, Unreported, 1964, yes, Bachelors, Roseville, false, Support, 14.61, 27/02/2016, Graduated, 12/08/2016, UX, Institutionalized, Online, 23/05/2017, Web Developer, Microsoft, 27.43, , ,
Y-1056, Female, 1972, unreported, Some College, Plymouth, true, Contractor, 15.30, 08/10/2016, Graduated, 08/01/2017, UX, Enrolled in Additional Training, Online, 16/01/2018, Project Manager, Merrill Corporation, 27.55, , ,
Y-1057, Female, 1950, unreported, Bachelors, Robbinsdale, false, Representative, 15.79, 20/04/2017, Withdrew, 15/06/2017, IT Fundamentals, Enrolled in Additional Training, Online, 19/03/2018, Project Manager, Bind Benefits, 25.31, , ,
Y-1058, Male, 1982, no, HS/GED, Brooklyn Center, true, Representative, 12.80, 05/04/2017, Graduated, 20/06/2017, IT Fundamentals, Entered Employment, Classroom, 13/03/2018, Junior Developer, Osborn 370, 30.87, , ,
Y-1059, Female, 1951, unreported, Bachelors, Edina, true, Employee, 14.30, 16/09/2016, Removed, 28/11/2016, QA, Health/Medical, Classroom, 21/10/2017, Temp Developer, Nerdery, 24.31, , ,
Y-1060, Female, 1981, no, Graduate and Beyond, Edina, false, Representative, 11.47, 01/05/2016, Withdrew, 23/09/2016, UX, Enrolled in Additional Training, Online, 22/04/2017, Web Developer, Osborn 370, 27.63, , ,
Y-1061, Other, 1962, unreported, Associates, Roseville, true, Employee, 13.37, 10/11/2015, Withdrew, 05/04/2016, QA, Health/Medical, Online, 14/03/2017, Programmer, Bind Benefits, 24.43, IT Support, Loup Ventures, 29.72
Y-1062, Female, 1993, unreported, Bachelors, Plymouth, true, Supervisor, 13.75, 26/07/2017, Graduated, 27/12/2017, QA, Entered Employment, Classroom, 03/03/2018, Project Manager, Osborn 370, 25.63, , ,
Y-1063, Female, 1987, unreported, Graduate and Beyond, Brooklyn Center, true, Cashier, 15.23, 15/02/2017, Graduated, 22/04/2017, QA, Incarcerated, Online, 17/03/2018, Temp Designer, Osborn 370, 24.51, Temp Designer, Upsie, 29.85
Y-1064, Male, 1994, unreported, HS/GED, Plymouth, false, Supervisor, 10.87, 25/09/2016, Graduated, 11/06/2017, QA, Entered Military, Classroom, 09/07/2017, Developer, Upsie, 30.19, , ,
Y-1065, Unreported, 1956, yes, HS/GED, Plymouth, false, Representative, 15.62, 20/05/2015, Withdrew, 10/10/2015, QA, Entered Employment, Classroom, 09/06/2016, Developer, Code 42, 31.31, , ,
Y-1066, Male, 1999, no, Some College, Edina, false, Support, 15.88, 20/07/2016, Graduated, 13/04/2017, UX, Health/Medical, Online, 04/08/2017, Temp Designer, Apple, 28.39, , ,
Y-1067, Female, 1986, yes, Bachelors, Plymouth, false, , 9.84, 16/07/2017, Graduated, 22/11/2017, UX, Entered Employment, Online, 03/05/2018, Temp Developer, Google, 27.44, , ,
Y-1068, Male, 1965, unreported, Bachelors, Minneapolis, false, Cashier, 14.51, 01/02/2017, Graduated, 13/06/2017, UX, Health/Medical, Online, 13/04/2018, Temp Designer, Aftercode, 29.01, , ,
Y-1069, Other, 1973, unreported, Bachelors, Plymouth, true, Cashier, 9.69, 26/07/2017, Removed, 20/04/2018, IT Fundamentals, Institutionalized, Online, 03/02/2019, Temp Designer, Great North Labs, 30.47, , ,
Y-1070, Other, 1991, unreported, Associates, Eden Prairie, true, Supervisor, 14.49, 05/07/2017, Withdrew, 01/12/2017, QA, Institutionalized, Classroom, , , , , , ,
Y-1071, Female, 1977, no, Bachelors, Plymouth, true, Contractor, 15.08, 17/11/2017, Withdrew, 26/03/2018, QA, Entered Employment, Classroom, 01/09/2018, Designer, Nerdery, 31.85, , ,
Y-1072, Unreported, 1959, yes, Some College, Robbinsdale, true, Manager, 14.56, 14/04/2016, Removed, 27/08/2016, UX, Entered Military, Classroom, 28/07/2017, Developer, Osborn 370, 28.66, , ,
Y-1073, Female, 1975, unreported, Bachelors, Edina, true, Support, 9.58, 17/11/2016, Graduated, 14/08/2017, IT Fundamentals, Institutionalized, Classroom, 19/12/2017, Junior Engineer, Aftercode, 25.28, , ,
Y-1074, Unreported, 1960, yes, Bachelors, Roseville, true, Temp, 14.13, 24/10/2015, Graduated, 02/05/2016, IT Fundamentals, Institutionalized, Online, 11/05/2017, Designer, Code 42, 27.40, , ,
Y-1075, Female, 1958, no, Graduate and Beyond, Roseville, true, Support, 12.15, 05/01/2015, Withdrew, 17/10/2015, QA, Enrolled in Additional Training, Online, 05/05/2016, Junior Engineer, Osborn 370, 30.77, , ,
Y-1076, Other, 1957, unreported, Some College, Edina, false, , 13.21, 02/07/2016, Graduated, 11/04/2017, UX, Institutionalized, Online, 22/04/2018, Junior Designer, Osborn 370, 24.76, , ,
Y-1077, Male, 1958, unreported, Some College, Robbinsdale, true, , 9.55, 06/08/2017, Graduated, 18/11/2017, QA, Health/Medical, Online, 22/02/2018, Programmer, Branch Messenger, 28.80, , ,
Y-1078, Other, 1963, no, HS/GED, Brooklyn Center, false, , 12.00, 13/01/2015, Graduated, 28/09/2015, IT Fundamentals, Entered Employment, Online, 17/12/2015, Junior Designer, Loup Ventures, 30.65, , ,
Y-1079, Male, 1966, unreported, Associates, Robbinsdale, true, Employee, 11.05, 13/10/2016, Withdrew, 20/04/2017, IT Fundamentals, Health/Medical, Classroom, 10/12/2017, Junior Designer, Great North Labs, 26.72, , ,
Y-1080, Female, 1986, yes, Some College, Edina, false, Contractor, 10.50, 31/01/2017, Removed, 10/07/2017, UX, Incarcerated, Classroom, 01/05/2018, IT Support, Microsoft, 27.81, , ,
Y-1081, Male, 1984, unreported, Some College, Brooklyn Center, false, , 9.90, 24/01/2015, Withdrew, 26/05/2015, QA, Incarcerated, Classroom, 09/10/2015, Temp Developer, Apple, 29.34, IT Support, Merrill Corporation, 30.93
Y-1082, Male, 1964, no, Associates, Minneapolis, false, Supervisor, 9.94, 17/06/2016, Removed, 28/11/2016, QA, Enrolled in Additional Training, Online, 05/08/2017, Junior Developer, Bright Health, 30.94, Programmer, Branch Messenger, 31.63
Y-1083, Unreported, 1996, yes, HS/GED, Robbinsdale, true, Contractor, 13.36, 25/01/2016, Removed, 14/04/2016, IT Fundamentals, Incarcerated, Online, 04/05/2016, Web Developer, Upsie, 30.47, , ,
Y-1084, Unreported, 1967, unreported, Graduate and Beyond, Eden Prairie, true, , 10.77, 19/07/2015, Withdrew, 08/12/2015, IT Fundamentals, Incarcerated, Classroom, 26/10/2016, IT Support, Bind Benefits, 30.05, , ,
Y-1085, Male, 1993, yes, Some College, Edina, true, Manager, 15.23, 09/05/2015, Withdrew, 06/12/2015, IT Fundamentals, Health/Medical, Online, 03/10/2016, Temp Developer, Code 42, 31.57, Web Developer, Great North Labs, 25.53
Y-1086, Female, 1957, no, Some College, Brooklyn Center, false, , 9.37, 15/11/2017, Removed, 05/08/2018, UX, Enrolled in Additional Training, Online, 19/06/2019, Developer, Google, 24.75, , ,
Y-1087, Other, 1968, unreported, Some College, St. Paul, true, Associate, 10.63, 30/03/2016, Graduated, 27/12/2016, IT Fundamentals, Enrolled in Additional Training, Online, 20/06/2017, IT Support, Code 42, 24.25, , ,
Y-1088, Female, 1983, yes, Graduate and Beyond, Plymouth, false, , 15.25, 04/12/2017, In Training, , QA, , Online, , , , , , ,
Y-1089, Male, 1993, unreported, Graduate and Beyond, Plymouth, false, Support, 14.71, 31/01/2016, Graduated, 19/04/2016, UX, Incarcerated, Online, 16/08/2016, Junior Engineer, Google, 26.88, , ,
Y-1090, Other, 1983, yes, Associates, St. Paul, true, Manager, 15.41, 11/03/2017, Withdrew, 14/10/2017, IT Fundamentals, Entered Military, Classroom, 12/12/2017, Junior Developer, Aftercode, 25.06, , ,
Y-1091, Unreported, 1971, yes, Graduate and Beyond, Plymouth, false, , 14.16, 01/02/2017, Graduated, 09/06/2017, QA, Entered Military, Online, 16/08/2017, Project Manager, Bite Squad, 26.27, Temp Developer, Merrill Corporation, 27.86
Y-1092, Male, 1961, no, Associates, Roseville, true, Supervisor, 12.76, 03/07/2016, Withdrew, 24/09/2016, UX, Institutionalized, Online, 01/10/2017, IT Support, Loup Ventures, 25.87, , ,
Y-1093, Female, 1974, unreported, Associates, Brooklyn Center, true, Associate, 11.09, 13/03/2016, Graduated, 21/09/2016, QA, Health/Medical, Classroom, 13/03/2017, Programmer, Foodsby, 28.99, , ,
Y-1094, Unreported, 1965, yes, Bachelors, Edina, true, Support, 15.66, 02/12/2017, Graduated, 05/07/2018, IT Fundamentals, Incarcerated, Online, 06/01/2019, Web Developer, Merrill Corporation, 29.97, , ,
Y-1095, Unreported, 1956, yes, Some College, Minneapolis, true, Representative, 15.73, 17/09/2016, Graduated, 08/02/2017, IT Fundamentals, Health/Medical, Classroom, 07/02/2018, Project Manager, Aftercode, 26.82, Temp Designer, Branch Messenger, 29.02
Y-1096, Female, 1981, no, HS/GED, Plymouth, true, Team Member, 13.55, 16/05/2017, Withdrew, 09/11/2017, QA, Incarcerated, Online, 02/06/2018, Junior Engineer, Nerdery, 30.62, , ,
Y-1097, Male, 1975, unreported, HS/GED, Brooklyn Center, true, Support, 12.02, 18/06/2015, Removed, 01/09/2015, UX, Health/Medical, Classroom, 12/05/2016, Junior Developer, Upsie, 29.23, , ,
Y-1098, Female, 1988, yes, Bachelors, Brooklyn Center, true, Associate, 15.48, 18/07/2017, Withdrew, 21/01/2018, UX, Institutionalized, Online, 17/03/2018, Programmer, Code 42, 25.60, , ,
Y-1099, Unreported, 1950, unreported, Some College, Plymouth, false, Supervisor, 13.16, 11/11/2015, Withdrew, 18/05/2016, QA, Entered Military, Online, 22/03/2017, IT Support, Bright Health, 27.99, , ,
Y-1100, Male, 1959, yes, HS/GED, Eden Prairie, true, , 14.84, 18/11/2015, Removed, 05/07/2016, IT Fundamentals, Health/Medical, Classroom, 01/09/2016, Project Manager, Code 42, 27.67, Developer, Bright Health, 27.38
