person_id, gender, year_of_birth, person_of_color, education_level, city_of_residence, scholarship_recipient, previous_job_experience, pre_training_wage, training_start_date, training_status, training_end_date, training_type, exit_status, classroom_or_online, job_placement_date, hiring_job_title, hiring_company, starting_wage, second_job_title, second_job_company, second_starting_wage
S-1055, Other, 1957, unreported, Associates, Minneapolis, true, Support, 10.37, 27/07/2016, Withdrew, 04/09/2016, UX, Enrolled in Additional Training, Classroom, 19/03/2017, IT Support, Bind Benefits, 26.50, , ,
S-1056, Other, 1968, yes, Graduate and Beyond, Eden Prairie, false, Manager, 10.35, 29/07/2015, Graduated, 23/04/2016, UX, Institutionalized, Classroom, 04/08/2016, Junior Engineer, Loup Ventures, 28.20, , ,
S-1057, Other, 1991, yes, HS/GED, St. Paul, true, Support, 9.18, 28/10/2015, Removed, 12/05/2016, UX, Enrolled in Additional Training, Online, 11/12/2016, Temp Developer, Great North Labs, 26.47, , ,
S-1058, Unreported, 1989, no, Graduate and Beyond, Plymouth, false, Supervisor, 9.86, 24/06/2015, Withdrew, 02/02/2016, UX, Enrolled in Additional Training, Online, 27/10/2016, Temp Designer, Foodsby, 25.05, Project Manager, Code 42, 28.03
S-1059, Other, 1950, yes, Some College, Minneapolis, true, Representative, 15.62, 22/04/2017, Graduated, 08/01/2018, IT Fundamentals, Entered Employment, Classroom, 16/04/2018, Programmer, Great North Labs, 24.43, , ,
S-1060, Male, 1976, unreported, Graduate and Beyond, Plymouth, true, Manager, 13.43, 03/05/2015, Withdrew, 26/02/2016, QA, Entered Employment, Classroom, 25/07/2016, Developer, Branch Messenger, 31.29, Junior Engineer, Bite Squad, 30.28
S-1061, Unreported, 1995, unreported, Some College, St. Paul, true, Employee, 15.75, 02/02/2017, Graduated, 06/10/2017, IT Fundamentals, Incarcerated, Classroom, 07/04/2018, Junior Developer, Apple, 28.66, , ,
S-1062, Female, 1960, unreported, Graduate and Beyond, Edina, false, Support, 10.25, 29/08/2017, Removed, 14/12/2017, QA, Enrolled in Additional Training, Online, 09/07/2018, Web Developer, Apple, 25.08, Temp Developer, Loup Ventures, 29.56
S-1063, Other, 1977, unreported, Some College, Edina, false, Manager, 9.55, 08/03/2015, Removed, 21/10/2015, QA, Entered Employment, Classroom, 10/07/2016, Junior Developer, Osborn 370, 28.82, Project Manager, Great North Labs, 30.15
S-1064, Male, 1992, yes, Bachelors, Roseville, true, Contractor, 15.32, 30/11/2015, Removed, 22/06/2016, UX, Entered Employment, Classroom, 12/07/2016, Web Developer, Bright Health, 28.82, Junior Designer, Upsie, 27.45
S-1065, Male, 1991, unreported, Graduate and Beyond, Robbinsdale, true, Support, 9.62, 15/11/2016, Graduated, 01/08/2017, UX, Enrolled in Additional Training, Classroom, 11/06/2018, Junior Designer, Bind Benefits, 26.67, , ,
S-1066, Other, 1974, unreported, Some College, Edina, true, Support, 12.82, 18/08/2017, Withdrew, 13/04/2018, UX, Incarcerated, Classroom, 14/07/2018, Developer, Merrill Corporation, 28.82, , ,
S-1067, Male, 1985, unreported, Some College, Roseville, false, Representative, 10.72, 22/08/2015, Graduated, 18/03/2016, IT Fundamentals, Health/Medical, Online, 14/06/2016, Temp Developer, Nerdery, 27.18, , ,
S-1068, Male, 1973, no, Some College, Eden Prairie, false, Manager, 9.66, 27/06/2016, Removed, 16/08/2016, IT Fundamentals, Enrolled in Additional Training, Classroom, 05/01/2017, Temp Designer, Bite Squad, 27.75, , ,
S-1069, Male, 1960, unreported, HS/GED, Plymouth, true, Manager, 9.38, 08/06/2015, Graduated, 20/09/2015, QA, Institutionalized, Classroom, 15/10/2015, Junior Designer, Google, 24.36, , ,
S-1070, Other, 2000, yes, HS/GED, Robbinsdale, false, Associate, 15.76, 20/02/2015, Removed, 05/07/2015, QA, Enrolled in Additional Training, Online, 03/08/2015, Project Manager, Osborn 370, 31.01, , ,
S-1071, Male, 1996, unreported, Graduate and Beyond, Robbinsdale, true, Support, 14.54, 03/11/2017, Removed, 07/01/2018, UX, Entered Employment, Online, 11/02/2018, Temp Designer, Loup Ventures, 24.27, , ,
S-1072, Male, 1980, unreported, Bachelors, Minneapolis, false, Temp, 12.86, 21/11/2016, Removed, 10/04/2017, UX, Incarcerated, Classroom, 13/08/2017, Junior Designer, Code 42, 26.13, , ,
S-1073, Unreported, 1961, no, HS/GED, Edina, false, Supervisor, 14.37, 20/01/2016, Removed, 26/09/2016, UX, Entered Military, Online, 13/09/2017, Project Manager, Branch Messenger, 28.52, , ,
S-1074, Unreported, 1959, unreported, Associates, Roseville, false, Temp, 9.49, 02/10/2017, Removed, 08/02/2018, IT Fundamentals, Entered Employment, Classroom, , , , , , ,
S-1075, Other, 1978, unreported, Associates, Brooklyn Center, true, Contractor, 9.10, 15/09/2016, Withdrew, 08/01/2017, QA, Entered Military, Online, 11/09/2017, Programmer, Google, 31.77, , ,
S-1076, Female, 1957, yes, Bachelors, Brooklyn Center, false, Associate, 10.94, 28/02/2015, Withdrew, 05/05/2015, QA, Institutionalized, Classroom, 23/04/2016, Junior Designer, Great North Labs, 30.31, , ,
S-1077, Male, 1974, no, Associates, Roseville, true, Support, 10.18, 30/03/2017, Withdrew, 21/08/2017, UX, Incarcerated, Online, 28/01/2018, Developer, Merrill Corporation, 31.87, , ,
S-1078, Unreported, 1969, no, Some College, Plymouth, true, Associate, 9.21, 24/11/2017, Withdrew, 23/05/2018, QA, Incarcerated, Online, , , , , , ,
S-1079, Unreported, 1972, yes, Some College, Eden Prairie, true, Employee, 10.85, 07/05/2015, Graduated, 28/08/2015, QA, Entered Employment, Online, 13/12/2015, Temp Designer, Great North Labs, 31.05, Temp Designer, Upsie, 31.54
S-1080, Female, 1991, unreported, Associates, Roseville, true, Team Member, 11.26, 22/05/2015, Removed, 14/01/2016, IT Fundamentals, Entered Military, Classroom, 25/12/2016, Developer, Bite Squad, 27.19, , ,
S-1081, Other, 1982, no, Some College, Roseville, false, Cashier, 9.51, 10/08/2017, Withdrew, 12/02/2018, QA, Health/Medical, Classroom, 06/12/2018, Programmer, Loup Ventures, 28.45, , ,
S-1082, Male, 1976, unreported, Bachelors, St. Paul, true, Cashier, 15.85, 09/09/2015, Removed, 07/01/2016, QA, Entered Employment, Online, 16/04/2016, Junior Engineer, Loup Ventures, 29.28, , ,
S-1083, Male, 1991, yes, Bachelors, Robbinsdale, false, Cashier, 12.67, 20/02/2017, Withdrew, 03/04/2017, QA, Health/Medical, Online, 15/07/2017, IT Support, Google, 24.17, , ,
S-1084, Female, 1986, no, Some College, Plymouth, false, Team Member, 14.90, 27/06/2016, Withdrew, 13/09/2016, QA, Incarcerated, Classroom, 17/12/2016, Temp Designer, Google, 29.66, , ,
S-1085, Male, 1956, unreported, HS/GED, St. Paul, false, Support, 15.29, 14/09/2017, Graduated, 11/04/2018, IT Fundamentals, Enrolled in Additional Training, Online, 05/07/2018, IT Support, Code 42, 29.37, , ,
S-1086, Female, 1999, unreported, Bachelors, Minneapolis, true, Temp, 11.13, 13/11/2015, Graduated, 18/07/2016, UX, Incarcerated, Online, 17/12/2016, IT Support, Nerdery, 29.28, , ,
S-1087, Male, 1993, no, Associates, Eden Prairie, false, Contractor, 15.17, 27/01/2016, Graduated, 09/07/2016, IT Fundamentals, Incarcerated, Classroom, 02/05/2017, Designer, Bind Benefits, 26.77, , ,
S-1088, Male, 1972, unreported, Associates, Eden Prairie, true, , 12.73, 10/05/2017, Withdrew, 10/01/2018, UX, Entered Employment, Online, 21/05/2018, Temp Developer, Aftercode, 25.60, , ,
S-1089, Unreported, 1998, yes, Graduate and Beyond, Brooklyn Center, true, Temp, 15.83, 04/01/2017, Withdrew, 04/04/2017, QA, Institutionalized, Online, 17/04/2018, Designer, Bite Squad, 27.91, Junior Developer, Osborn 370, 24.88
S-1090, Female, 1988, no, Associates, Edina, true, Representative, 11.41, 12/09/2017, Removed, 19/06/2018, IT Fundamentals, Enrolled in Additional Training, Online, 25/05/2019, Junior Engineer, Bright Health, 26.21, , ,
S-1091, Male, 1962, no, HS/GED, St. Paul, false, Cashier, 15.67, 12/08/2015, Withdrew, 01/04/2016, QA, Entered Military, Classroom, 11/04/2017, Programmer, Microsoft, 31.02, , ,
S-1092, Female, 1957, yes, Bachelors, Plymouth, true, Support, 12.95, 11/05/2016, Graduated, 24/11/2016, UX, Enrolled in Additional Training, Classroom, 09/02/2017, Junior Designer, Foodsby, 27.95, , ,
S-1093, Male, 1996, yes, Graduate and Beyond, Eden Prairie, false, Team Member, 15.68, 28/07/2015, Withdrew, 25/09/2015, UX, Institutionalized, Classroom, 05/04/2016, Designer, Loup Ventures, 31.30, Project Manager, Code 42, 27.59
S-1094, Female, 1959, unreported, Graduate and Beyond, Brooklyn Center, true, Employee, 10.79, 25/09/2015, Withdrew, 02/05/2016, UX, Enrolled in Additional Training, Classroom, 09/01/2017, Junior Developer, Microsoft, 29.96, , ,
S-1095, Female, 1987, no, Associates, Minneapolis, true, , 13.04, 04/10/2016, Withdrew, 07/02/2017, QA, Institutionalized, Classroom, 18/11/2017, Temp Developer, Bite Squad, 30.00, , ,
S-1096, Other, 1963, unreported, Graduate and Beyond, Robbinsdale, false, Cashier, 10.57, 29/11/2015, Graduated, 02/03/2016, UX, Entered Military, Online, 14/02/2017, Junior Developer, Osborn 370, 28.07, , ,
S-1097, Other, 1951, no, Some College, Robbinsdale, true, Manager, 15.39, 17/03/2016, Removed, 10/08/2016, QA, Incarcerated, Classroom, 13/05/2017, Programmer, Bind Benefits, 24.73, , ,
S-1098, Unreported, 1984, yes, Associates, Robbinsdale, false, Representative, 12.22, 14/08/2017, Withdrew, 19/04/2018, IT Fundamentals, Institutionalized, Classroom, 17/08/2018, Web Developer, Loup Ventures, 29.20, , ,
S-1099, Female, 1997, unreported, Some College, St. Paul, true, Supervisor, 11.87, 19/11/2017, Withdrew, 02/03/2018, UX, Institutionalized, Classroom, 25/05/2018, Programmer, Bind Benefits, 27.62, , ,
S-1100, Other, 1999, yes, Some College, Plymouth, true, Contractor, 12.24, 30/04/2015, Removed, 11/07/2015, QA, Entered Military, Online, 19/09/2015, IT Support, Osborn 370, 30.48, , ,
