person_id,gender,year_of_birth,person_of_color,education_level,city_of_residence,scholarship_recipient,previous_job_experience,pre_training_wage,training_start_date,training_status,training_end_date,training_type,exit_status,classroom_or_online,job_placement_date,hiring_job_title,hiring_company,starting_wage,second_job_placement_date,second_job_title,second_job_company,second_starting_wage
T-23,Unreported,1965,unreported,Bachelors,Roseville,yes,Employee,15.39,14/04/2017,Removed,26/12/2017,UX,Institutionalized,Classroom,02/12/2018,Junior Engineer,Foodsby,30.55,,,,
J-24,Unreported,1972,yes,Graduate and Beyond,Minneapolis,yes,Associate,14.61,09/05/2015,Removed,10/01/2016,UX,Entered Military,Online,06/10/2016,Designer,Loup Ventures,24.33,,,,
S-25,Unreported,1990,yes,Bachelors,Brooklyn Center,no,Cashier,14.76,12/05/2016,Removed,07/09/2016,UX,Incarcerated,Classroom,07/12/2016,Temp Designer,Apple,30.97,,,,
C-26,Male,1977,unreported,Some College,Brooklyn Center,no,Representative,12.66,29/11/2017,In Training,,QA,,Online,,,,,,,,
Y-27,Female,1961,yes,Bachelors,Edina,no,Associate,13.31,16/02/2015,Removed,20/04/2015,IT Fundamentals,Entered Military,Classroom,17/06/2015,Junior Designer,Aftercode,29.69,,,,
P-28,Female,1951,yes,Graduate and Beyond,Minneapolis,no,Supervisor,10.59,08/12/2015,Withdrew,02/03/2016,IT Fundamentals,Entered Employment,Classroom,25/08/2016,Programmer,Microsoft,24.40,07/03/2017,Junior Designer,Merrill Corporation,24.39
J-29,Male,1960,unreported,Bachelors,Plymouth,no,,15.20,08/10/2015,Removed,25/02/2016,UX,Entered Employment,Online,08/10/2016,Developer,Osborn 370,25.91,,,,
J-30,Male,1957,unreported,Bachelors,Eden Prairie,no,Representative,14.35,02/09/2015,Graduated,16/02/2016,IT Fundamentals,Institutionalized,Online,25/08/2016,Temp Developer,Foodsby,29.60,,,,
S-31,Unreported,1952,no,Graduate and Beyond,Brooklyn Center,yes,Employee,12.63,05/02/2016,Withdrew,23/09/2016,QA,Entered Military,Classroom,08/07/2017,Junior Designer,Osborn 370,24.46,,,,
C-32,Other,1985,unreported,Some College,Roseville,no,Temp,12.81,11/02/2015,Graduated,04/06/2015,IT Fundamentals,Incarcerated,Classroom,20/12/2015,Web Developer,Osborn 370,29.75,,,,
T-33,Male,1968,unreported,HS/GED,Brooklyn Center,no,Supervisor,9.27,26/05/2016,Removed,04/07/2016,QA,Institutionalized,Classroom,18/08/2016,Junior Engineer,Upsie,28.41,,,,
J-34,Male,1999,unreported,HS/GED,St. Paul,no,Cashier,14.67,08/01/2017,Graduated,15/03/2017,UX,Incarcerated,Online,26/04/2017,Junior Engineer,Google,31.07,,,,
C-35,Other,1989,no,Graduate and Beyond,Roseville,yes,Representative,11.19,26/07/2015,Removed,17/03/2016,IT Fundamentals,Incarcerated,Online,11/09/2016,Designer,Great North Labs,29.89,,,,
Y-36,Male,1986,unreported,Some College,Brooklyn Center,yes,Supervisor,13.50,21/04/2016,Removed,26/11/2016,QA,Entered Employment,Classroom,23/07/2017,Junior Engineer,Branch Messenger,24.15,10/12/2017,Designer,Upsie,25.19
M-37,Male,1963,unreported,Bachelors,Edina,yes,Representative,15.21,01/09/2017,In Training,,QA,,Classroom,,,,,,,,
P-38,Unreported,1968,no,Bachelors,Eden Prairie,yes,Supervisor,10.12,01/08/2016,Removed,23/10/2016,IT Fundamentals,Health/Medical,Classroom,16/04/2017,IT Support,Code 42,25.90,,,,
P-39,Other,1970,no,HS/GED,St. Paul,yes,Associate,9.15,27/08/2017,Withdrew,18/12/2017,UX,Incarcerated,Classroom,,,,,,,,
M-40,Unreported,1991,no,HS/GED,St. Paul,yes,,14.91,07/09/2015,Removed,08/11/2015,IT Fundamentals,Incarcerated,Online,03/08/2016,Programmer,Bright Health,26.72,,,,
C-41,Male,1973,unreported,HS/GED,Eden Prairie,yes,Representative,11.39,21/04/2017,Graduated,11/07/2017,IT Fundamentals,Entered Military,Classroom,06/12/2017,Junior Developer,Bite Squad,31.06,,,,
Y-42,Female,1951,unreported,Some College,St. Paul,yes,Contractor,13.16,10/03/2015,Graduated,28/12/2015,QA,Health/Medical,Classroom,16/07/2016,Junior Designer,Bite Squad,25.32,,,,
M-43,Female,1955,unreported,Bachelors,Minneapolis,yes,Support,9.50,07/09/2017,Removed,01/11/2017,IT Fundamentals,Entered Employment,Online,24/03/2018,Programmer,Foodsby,25.13,,,,
P-44,Unreported,1959,yes,Associates,Minneapolis,yes,,10.20,06/03/2016,Graduated,26/05/2016,UX,Enrolled in Additional Training,Online,04/07/2016,Web Developer,Apple,30.20,,,,
T-45,Male,1965,yes,Bachelors,Roseville,yes,Associate,12.44,07/03/2016,Removed,15/11/2016,UX,Institutionalized,Online,15/11/2017,Developer,Loup Ventures,24.44,,,,
J-46,Other,1991,no,Bachelors,St. Paul,yes,Associate,9.76,26/07/2015,Withdrew,26/10/2015,QA,Incarcerated,Classroom,14/06/2016,Project Manager,Aftercode,28.15,11/11/2016,Developer,Code 42,31.32
T-47,Female,1952,yes,Bachelors,Robbinsdale,no,Associate,14.95,28/09/2017,Graduated,16/06/2018,IT Fundamentals,Entered Military,Classroom,25/02/2019,Developer,Loup Ventures,30.72,,,,
P-48,Female,1996,no,HS/GED,St. Paul,no,Cashier,10.85,09/04/2016,Removed,10/10/2016,QA,Enrolled in Additional Training,Online,02/09/2017,Project Manager,Merrill Corporation,24.20,,,,
T-49,Male,1970,no,Bachelors,St. Paul,no,Employee,13.21,06/01/2017,Graduated,06/03/2017,UX,Incarcerated,Online,02/02/2018,Temp Developer,Great North Labs,28.96,,,,
C-50,Unreported,1976,no,HS/GED,Roseville,yes,Supervisor,15.22,10/11/2017,Removed,15/04/2018,IT Fundamentals,Entered Military,Online,10/02/2019,Project Manager,Bite Squad,30.42,13/11/2019,Programmer,Loup Ventures,26.00
P-51,Male,1968,no,Graduate and Beyond,Minneapolis,yes,,15.94,14/04/2017,Removed,12/12/2017,UX,Health/Medical,Online,14/08/2018,Junior Developer,Merrill Corporation,31.84,19/09/2018,Temp Developer,Microsoft,31.90
T-52,Male,1965,yes,Some College,St. Paul,no,Team Member,15.05,29/07/2016,Withdrew,03/10/2016,IT Fundamentals,Enrolled in Additional Training,Classroom,16/05/2017,Designer,Aftercode,26.41,,,,
M-53,Other,1961,unreported,Bachelors,Brooklyn Center,no,Temp,10.23,20/11/2017,Removed,09/01/2018,UX,Incarcerated,Online,21/04/2018,Junior Developer,Bind Benefits,27.43,,,,
J-54,Male,1983,unreported,HS/GED,Minneapolis,yes,Cashier,12.99,04/10/2017,In Training,,QA,,Classroom,,,,,,,,
C-55,Unreported,1967,yes,Bachelors,Brooklyn Center,no,Supervisor,11.43,09/07/2015,Graduated,09/10/2015,IT Fundamentals,Entered Employment,Online,20/08/2016,Temp Developer,Aftercode,25.06,,,,
P-56,Male,1963,yes,Associates,Eden Prairie,no,Associate,15.36,08/07/2015,Removed,19/02/2016,IT Fundamentals,Institutionalized,Classroom,18/06/2016,Web Developer,Osborn 370,24.43,,,,
Y-57,Female,1965,no,HS/GED,Roseville,yes,Cashier,9.10,28/06/2017,Graduated,08/10/2017,QA,Health/Medical,Classroom,16/04/2018,Programmer,Foodsby,29.64,27/06/2018,Programmer,Upsie,29.80
S-58,Male,1995,yes,Associates,Eden Prairie,no,Contractor,11.29,25/01/2016,Removed,23/10/2016,QA,Entered Employment,Classroom,16/05/2017,Temp Designer,Merrill Corporation,28.50,,,,
T-59,Male,1977,yes,Graduate and Beyond,Plymouth,no,Employee,11.20,05/09/2015,Removed,14/01/2016,IT Fundamentals,Health/Medical,Online,01/07/2016,Junior Engineer,Bright Health,30.82,,,,
J-60,Unreported,1974,yes,Graduate and Beyond,Roseville,no,Team Member,13.65,17/05/2017,Removed,17/02/2018,QA,Institutionalized,Online,,,,,,,,
M-61,Male,1994,unreported,Bachelors,Robbinsdale,no,Support,15.23,03/12/2016,Graduated,21/03/2017,QA,Entered Employment,Classroom,07/05/2017,Web Developer,Code 42,24.39,,,,
S-62,Female,1985,no,Associates,Minneapolis,no,Contractor,12.75,17/03/2016,Removed,13/11/2016,QA,Enrolled in Additional Training,Online,26/12/2017,Temp Developer,Bind Benefits,28.57,,,,
S-63,Other,1978,yes,HS/GED,Minneapolis,yes,Employee,13.40,21/09/2015,Removed,11/11/2015,IT Fundamentals,Enrolled in Additional Training,Classroom,19/11/2016,Temp Designer,Foodsby,26.76,,,,
T-64,Unreported,1959,yes,HS/GED,Plymouth,no,Associate,13.97,16/12/2016,Graduated,07/07/2017,UX,Incarcerated,Online,01/01/2018,Designer,Merrill Corporation,25.42,,,,
C-65,Male,2000,yes,Associates,Eden Prairie,yes,Team Member,14.21,21/04/2015,Graduated,06/06/2015,QA,Entered Employment,Online,11/11/2015,Project Manager,Google,29.62,,,,
T-66,Male,1960,unreported,HS/GED,Brooklyn Center,no,Support,9.45,29/11/2016,Removed,05/08/2017,QA,Entered Employment,Classroom,22/05/2018,Junior Developer,Upsie,27.54,,,,
C-67,Female,1960,no,Some College,Eden Prairie,yes,Manager,15.48,10/01/2015,Withdrew,27/03/2015,IT Fundamentals,Health/Medical,Classroom,19/02/2016,Web Developer,Osborn 370,24.60,,,,
S-68,Male,1967,yes,Associates,Edina,yes,Associate,14.35,14/04/2015,Removed,11/01/2016,UX,Health/Medical,Online,27/05/2016,IT Support,Aftercode,26.86,,,,
T-69,Female,1977,yes,Bachelors,Edina,yes,Team Member,15.31,18/11/2016,Withdrew,03/03/2017,IT Fundamentals,Entered Military,Online,03/05/2017,Temp Designer,Aftercode,28.23,,,,
J-70,Other,1997,no,HS/GED,Minneapolis,yes,Manager,15.85,12/10/2016,Withdrew,23/12/2016,QA,Institutionalized,Classroom,04/07/2017,Junior Designer,Osborn 370,27.00,,,,
J-71,Male,1979,no,Bachelors,Brooklyn Center,no,Contractor,13.21,06/11/2015,Withdrew,02/01/2016,UX,Incarcerated,Online,12/11/2016,Junior Designer,Osborn 370,29.75,09/09/2017,Junior Engineer,Apple,26.46
J-72,Unreported,1979,unreported,HS/GED,Robbinsdale,no,Cashier,9.10,04/10/2015,Withdrew,15/02/2016,IT Fundamentals,Enrolled in Additional Training,Classroom,25/07/2016,IT Support,Branch Messenger,25.50,,,,
S-73,Female,1962,yes,Graduate and Beyond,Plymouth,no,Temp,15.12,30/05/2016,Graduated,22/12/2016,IT Fundamentals,Health/Medical,Classroom,16/02/2017,Programmer,Nerdery,26.53,,,,
Y-74,Other,1975,yes,HS/GED,Minneapolis,yes,Supervisor,14.94,13/02/2015,Graduated,07/07/2015,IT Fundamentals,Enrolled in Additional Training,Online,01/09/2015,Project Manager,Branch Messenger,25.40,,,,
C-75,Unreported,1963,no,Graduate and Beyond,Edina,no,Temp,12.60,25/06/2017,Graduated,10/03/2018,IT Fundamentals,Enrolled in Additional Training,Online,,,,,,,,
C-76,Male,1979,no,HS/GED,Plymouth,no,Temp,13.91,14/12/2016,Removed,12/07/2017,UX,Incarcerated,Online,28/12/2017,Temp Developer,Google,26.41,,,,
C-77,Female,1999,no,Graduate and Beyond,Edina,yes,Team Member,10.34,11/07/2016,Withdrew,14/12/2016,UX,Institutionalized,Classroom,24/11/2017,Temp Developer,Branch Messenger,24.84,,,,
S-78,Unreported,1976,no,Associates,Plymouth,yes,,9.11,26/08/2016,Graduated,24/04/2017,QA,Enrolled in Additional Training,Online,01/02/2018,Junior Engineer,Google,29.05,,,,
C-79,Other,1975,yes,Some College,St. Paul,yes,Temp,10.69,07/01/2015,Removed,09/04/2015,UX,Incarcerated,Online,22/11/2015,Programmer,Nerdery,30.98,,,,
J-80,Female,1972,no,Graduate and Beyond,Plymouth,no,Cashier,13.14,10/06/2016,Removed,21/03/2017,IT Fundamentals,Health/Medical,Online,18/05/2017,Junior Engineer,Code 42,25.88,,,,
P-81,Male,1973,no,Graduate and Beyond,Brooklyn Center,no,,15.23,30/01/2015,Withdrew,01/04/2015,QA,Entered Employment,Classroom,08/09/2015,Project Manager,Osborn 370,29.54,25/08/2016,Temp Designer,Nerdery,24.38
T-82,Female,1977,yes,Graduate and Beyond,Plymouth,no,Representative,15.76,04/11/2017,Removed,20/06/2018,UX,Enrolled in Additional Training,Online,24/03/2019,Temp Developer,Microsoft,24.69,,,,
C-83,Female,1967,no,Some College,Minneapolis,no,Support,14.70,14/02/2017,Withdrew,05/11/2017,QA,Entered Employment,Classroom,22/05/2018,Temp Developer,Aftercode,28.23,17/07/2018,Designer,Aftercode,25.36
P-84,Male,1989,yes,Bachelors,Roseville,no,,14.64,08/03/2015,Removed,08/08/2015,UX,Enrolled in Additional Training,Classroom,25/06/2016,Programmer,Microsoft,24.60,,,,
T-85,Female,1967,no,Some College,Brooklyn Center,no,Support,13.04,27/11/2017,Withdrew,11/01/2018,UX,Incarcerated,Classroom,,,,,,,,
Y-86,Unreported,1997,yes,HS/GED,Roseville,yes,Temp,12.35,20/06/2015,Graduated,02/09/2015,IT Fundamentals,Health/Medical,Online,07/05/2016,Junior Developer,Bright Health,26.89,,,,
C-87,Male,1966,yes,Associates,Edina,no,Employee,12.54,31/03/2016,Graduated,19/07/2016,QA,Entered Military,Online,02/03/2017,Project Manager,Aftercode,26.08,,,,
S-88,Male,1981,yes,HS/GED,Brooklyn Center,yes,,13.58,21/05/2015,Removed,09/02/2016,IT Fundamentals,Health/Medical,Online,25/10/2016,Temp Designer,Code 42,25.37,,,,
J-89,Female,1950,yes,Associates,Eden Prairie,yes,Temp,13.89,03/06/2015,Removed,15/11/2015,QA,Incarcerated,Classroom,25/03/2016,Designer,Loup Ventures,28.46,,,,
S-90,Female,1959,no,Graduate and Beyond,Eden Prairie,yes,Manager,13.08,15/01/2016,Withdrew,22/07/2016,QA,Incarcerated,Online,18/12/2016,Developer,Foodsby,24.97,18/04/2017,IT Support,Google,26.03
J-91,Other,1967,unreported,Some College,St. Paul,yes,Representative,9.40,12/04/2015,Removed,07/11/2015,UX,Incarcerated,Classroom,24/11/2016,Temp Designer,Microsoft,28.86,26/06/2017,IT Support,Code 42,31.27
T-92,Other,1977,yes,Bachelors,Plymouth,yes,,12.55,14/05/2017,Withdrew,04/09/2017,IT Fundamentals,Enrolled in Additional Training,Classroom,12/06/2018,Junior Engineer,Upsie,25.32,,,,
Y-93,Unreported,1956,no,Some College,Minneapolis,yes,Manager,11.53,28/01/2017,Withdrew,27/08/2017,QA,Entered Military,Online,22/01/2018,Project Manager,Bind Benefits,28.37,,,,
C-94,Male,1960,unreported,Some College,Minneapolis,yes,Representative,15.29,30/06/2017,Graduated,10/11/2017,QA,Health/Medical,Classroom,16/04/2018,Junior Developer,Nerdery,26.15,,,,
Y-95,Male,1990,unreported,HS/GED,Eden Prairie,no,,9.33,22/02/2017,Removed,28/06/2017,IT Fundamentals,Entered Military,Classroom,08/06/2018,IT Support,Nerdery,31.27,,,,
S-96,Female,1977,yes,Some College,Edina,yes,Representative,10.88,28/08/2017,Withdrew,15/03/2018,IT Fundamentals,Enrolled in Additional Training,Classroom,04/03/2019,Temp Designer,Apple,30.57,,,,
M-97,Male,1959,no,Associates,Eden Prairie,yes,Supervisor,9.91,05/12/2016,Withdrew,12/09/2017,QA,Health/Medical,Classroom,,,,,,,,
T-98,Unreported,1950,no,Associates,Minneapolis,yes,Support,15.24,05/12/2016,Withdrew,01/03/2017,QA,Incarcerated,Online,11/10/2017,Designer,Great North Labs,29.51,20/11/2017,Project Manager,Nerdery,24.45
J-99,Male,1999,no,Some College,Minneapolis,yes,Contractor,9.30,03/07/2016,Graduated,04/03/2017,IT Fundamentals,Health/Medical,Online,17/09/2017,Programmer,Bright Health,25.11,,,,
T-100,Other,1979,no,Some College,Roseville,yes,Cashier,10.20,24/10/2016,Graduated,12/07/2017,UX,Enrolled in Additional Training,Classroom,16/06/2018,Temp Designer,Merrill Corporation,30.58,02/06/2019,Temp Designer,Bright Health,24.95
M-101,Female,1993,no,Some College,Brooklyn Center,no,Contractor,15.21,21/07/2017,Graduated,28/10/2017,UX,Institutionalized,Classroom,07/08/2018,Project Manager,Branch Messenger,27.07,,,,
J-102,Unreported,1993,no,Graduate and Beyond,Edina,yes,Associate,14.72,05/06/2015,Withdrew,11/01/2016,IT Fundamentals,Entered Employment,Online,03/09/2016,IT Support,Merrill Corporation,27.58,07/02/2017,Web Developer,Great North Labs,30.32
S-103,Male,1977,yes,HS/GED,Roseville,yes,Associate,11.88,10/03/2015,Withdrew,06/11/2015,QA,Enrolled in Additional Training,Online,18/07/2016,Project Manager,Foodsby,28.84,,,,
T-104,Other,1967,unreported,HS/GED,Edina,no,Contractor,11.79,18/03/2016,Removed,25/05/2016,IT Fundamentals,Entered Employment,Classroom,18/01/2017,Temp Developer,Upsie,26.91,,,,
J-105,Other,1976,unreported,Some College,Roseville,no,Team Member,15.47,11/02/2015,Graduated,08/08/2015,IT Fundamentals,Incarcerated,Classroom,25/12/2015,Junior Designer,Merrill Corporation,29.26,,,,
S-106,Unreported,1966,yes,Graduate and Beyond,Robbinsdale,yes,Team Member,12.34,05/06/2017,Graduated,01/03/2018,IT Fundamentals,Entered Military,Online,,,,,,,,
T-107,Female,1989,unreported,Bachelors,Edina,yes,Supervisor,11.56,07/11/2017,Removed,23/04/2018,UX,Health/Medical,Online,20/06/2018,Temp Developer,Great North Labs,27.59,08/11/2018,Programmer,Bind Benefits,29.32
C-108,Male,1952,unreported,Some College,Roseville,no,Manager,13.75,30/04/2015,Graduated,15/07/2015,QA,Entered Employment,Classroom,19/08/2015,Designer,Merrill Corporation,31.44,15/04/2016,Junior Developer,Foodsby,28.11
J-109,Other,1990,yes,Associates,Robbinsdale,yes,Cashier,14.34,28/08/2015,Withdrew,09/02/2016,QA,Entered Military,Classroom,08/10/2016,Temp Developer,Bind Benefits,31.27,,,,
J-110,Unreported,1973,unreported,Bachelors,Roseville,no,Associate,15.59,01/07/2017,Withdrew,08/09/2017,IT Fundamentals,Incarcerated,Online,12/02/2018,Web Developer,Apple,30.35,,,,
S-111,Male,1969,unreported,HS/GED,Edina,yes,Representative,9.58,17/08/2015,Graduated,07/05/2016,IT Fundamentals,Enrolled in Additional Training,Online,10/09/2016,Junior Developer,Merrill Corporation,29.34,21/07/2017,Junior Engineer,Loup Ventures,24.37
J-112,Unreported,1968,unreported,Associates,Eden Prairie,no,Support,13.96,15/08/2015,Removed,25/05/2016,QA,Institutionalized,Classroom,25/12/2016,Project Manager,Great North Labs,28.85,,,,
J-113,Female,1995,unreported,Graduate and Beyond,Edina,yes,Manager,15.19,28/04/2015,Removed,12/07/2015,UX,Entered Employment,Classroom,01/03/2016,Temp Developer,Apple,27.10,,,,
C-114,Male,1987,yes,HS/GED,Plymouth,no,Cashier,15.21,07/11/2017,Removed,10/06/2018,QA,Health/Medical,Classroom,28/03/2019,Junior Designer,Apple,31.25,,,,
C-115,Unreported,1984,yes,Bachelors,Plymouth,no,Manager,12.29,25/03/2016,Withdrew,02/05/2016,QA,Institutionalized,Classroom,04/01/2017,Junior Developer,Apple,31.25,,,,
M-116,Unreported,1980,yes,Bachelors,Edina,no,Team Member,10.75,15/12/2016,Graduated,09/08/2017,QA,Incarcerated,Online,11/01/2018,Project Manager,Bind Benefits,31.39,,,,
M-117,Male,1968,unreported,Graduate and Beyond,Roseville,no,Manager,14.75,15/10/2016,Withdrew,01/04/2017,QA,Health/Medical,Online,23/01/2018,Programmer,Microsoft,29.73,,,,
J-118,Male,1968,unreported,Some College,Robbinsdale,yes,Employee,10.94,27/06/2015,Graduated,09/11/2015,UX,Entered Military,Classroom,09/11/2016,Junior Developer,Aftercode,26.65,,,,
S-119,Male,1952,unreported,Bachelors,Robbinsdale,yes,Temp,13.98,17/01/2015,Graduated,09/06/2015,QA,Enrolled in Additional Training,Classroom,26/07/2016,Programmer,Code 42,26.14,04/03/2017,Programmer,Google,25.71
P-120,Unreported,1980,no,Associates,Eden Prairie,no,Manager,11.77,17/09/2016,Graduated,20/01/2017,QA,Incarcerated,Online,12/02/2017,Designer,Osborn 370,26.13,,,,
J-121,Unreported,1999,yes,Bachelors,Minneapolis,no,Support,13.40,30/09/2015,Removed,19/04/2016,IT Fundamentals,Incarcerated,Online,03/10/2016,Junior Developer,Bite Squad,30.90,22/07/2017,Designer,Bite Squad,31.28
M-122,Male,1951,unreported,Some College,Robbinsdale,no,Temp,10.15,24/09/2016,Removed,08/02/2017,UX,Enrolled in Additional Training,Classroom,13/12/2017,Project Manager,Osborn 370,31.90,,,,
P-123,Unreported,1971,yes,Bachelors,Minneapolis,no,Support,12.64,15/11/2015,Removed,08/08/2016,IT Fundamentals,Enrolled in Additional Training,Online,11/09/2016,Temp Developer,Google,29.48,,,,
P-124,Male,1993,no,Bachelors,Plymouth,no,Temp,14.84,12/07/2015,Removed,12/09/2015,IT Fundamentals,Institutionalized,Online,27/01/2016,Designer,Loup Ventures,30.25,,,,
J-125,Other,1983,unreported,Graduate and Beyond,Minneapolis,yes,Contractor,11.39,31/07/2017,Withdrew,22/09/2017,UX,Institutionalized,Online,17/02/2018,IT Support,Branch Messenger,31.72,,,,
Y-126,Male,2001,unreported,HS/GED,Minneapolis,no,Supervisor,15.16,29/03/2017,Removed,25/08/2017,QA,Institutionalized,Classroom,15/03/2018,Temp Designer,Bind Benefits,25.48,,,,
J-127,Unreported,1957,unreported,Some College,Plymouth,no,Associate,15.51,13/12/2016,Graduated,14/05/2017,IT Fundamentals,Health/Medical,Classroom,07/12/2017,Project Manager,Code 42,26.66,,,,
P-128,Unreported,1990,yes,HS/GED,Eden Prairie,yes,Contractor,10.53,14/10/2016,Removed,03/12/2016,UX,Entered Employment,Classroom,19/10/2017,Temp Developer,Nerdery,26.57,,,,
S-129,Other,1995,no,HS/GED,St. Paul,yes,Team Member,15.22,24/04/2016,Graduated,03/01/2017,QA,Institutionalized,Online,09/09/2017,IT Support,Bright Health,25.96,28/03/2018,Junior Developer,Microsoft,24.65
M-130,Male,1969,unreported,HS/GED,Brooklyn Center,yes,Team Member,11.07,30/11/2016,Withdrew,03/08/2017,UX,Health/Medical,Online,05/11/2017,Temp Developer,Microsoft,25.64,,,,
P-131,Unreported,1985,yes,HS/GED,Roseville,no,Employee,13.94,25/06/2015,Removed,17/03/2016,IT Fundamentals,Entered Military,Classroom,20/08/2016,Designer,Code 42,28.22,,,,
C-132,Unreported,1960,unreported,Bachelors,Minneapolis,yes,Manager,9.77,08/06/2017,Removed,01/01/2018,IT Fundamentals,Enrolled in Additional Training,Classroom,19/04/2018,Developer,Merrill Corporation,27.48,15/02/2019,Project Manager,Bite Squad,25.35
Y-133,Female,1963,unreported,Graduate and Beyond,Robbinsdale,no,Temp,11.89,16/12/2015,Withdrew,10/05/2016,QA,Enrolled in Additional Training,Online,03/12/2016,Temp Developer,Bite Squad,25.02,,,,
C-134,Unreported,1956,no,Bachelors,Roseville,no,Contractor,9.24,27/12/2017,Withdrew,11/02/2018,IT Fundamentals,Entered Employment,Online,26/02/2019,Web Developer,Branch Messenger,29.55,,,,
