person_id,partner_id,gender,year_of_birth,person_of_color,education_level,city_of_residence,scholarship_recipient,previous_job_experience,pre_training_wage,training_start_date,training_status,training_end_date,training_type,exit_status,classroom_or_online,job_placement_date,hiring_job_title,hiring_company,starting_wage,second_job_placement_date,second_job_title,second_job_company,second_starting_wage
P-1011,3,Unreported,1958,Unreported,Bachelors,Brooklyn Center,Yes,Supervisor,9.95,21/08/2015,Withdrew,07/10/2015,UX,Health/Medical,Classroom,15/10/2016,Junior Engineer,Google,31.54,,,,
P-1012,3,Male,1972,Yes,Associates,Robbinsdale,No,Team Member,13.04,02/01/2016,Removed,04/03/2016,QA,Institutionalized,Online,23/11/2016,Developer,Google,29.99,,,,
P-1013,3,Female,1952,Yes,Graduate and Beyond,Eden Prairie,Yes,Temp,14.14,12/09/2016,Withdrew,18/11/2016,IT Fundamentals,Entered Employment,Classroom,09/05/2017,Programmer,Bite Squad,24.87,,,,
P-1014,3,Male,1960,Yes,Associates,Roseville,No,Manager,9.97,08/03/2016,Graduated,12/06/2016,IT Fundamentals,Entered Employment,Classroom,12/08/2016,Junior Engineer,Google,28.55,27/12/2016,Temp Developer,Google,27.20
P-1015,3,Unreported,1964,Unreported,Graduate and Beyond,Edina,Yes,Contractor,12.28,07/06/2017,Removed,10/10/2017,UX,Institutionalized,Online,,,,,,,,
P-1016,3,Male,1967,Unreported,Graduate and Beyond,Eden Prairie,No,Manager,14.90,16/01/2016,Graduated,18/06/2016,IT Fundamentals,Entered Employment,Online,09/12/2016,IT Support,Google,29.96,,,,
P-1017,3,Unreported,1954,Yes,Graduate and Beyond,St. Paul,Yes,Temp,11.87,13/06/2015,Graduated,12/03/2016,IT Fundamentals,Incarcerated,Online,10/04/2016,Programmer,Bite Squad,31.33,,,,
P-1018,3,Other,1979,No,Associates,St. Paul,Yes,Manager,14.61,18/05/2015,Removed,07/10/2015,IT Fundamentals,Enrolled in Additional Training,Classroom,02/07/2016,IT Support,Loup Ventures,29.65,,,,
P-1019,3,Male,1967,Unreported,Graduate and Beyond,Robbinsdale,No,,,20/06/2015,Removed,24/03/2016,UX,Incarcerated,Classroom,04/02/2017,IT Support,Microsoft,30.24,24/10/2017,Programmer,Nerdery,24.70
P-1020,3,Female,1987,Unreported,HS/GED,Brooklyn Center,No,Contractor,15.68,26/04/2016,Removed,01/11/2016,QA,Entered Military,Online,28/12/2016,Junior Engineer,Osborn 370,31.27,,,,
P-1021,3,Other,1991,No,Bachelors,Eden Prairie,No,Representative,13.33,10/02/2017,Withdrew,20/07/2017,QA,Incarcerated,Online,17/02/2018,Junior Developer,Upsie,27.06,23/12/2018,Temp Designer,Great North Labs,28.85
P-1022,3,Unreported,1966,No,Associates,Minneapolis,Yes,Support,9.17,01/12/2016,Withdrew,14/08/2017,IT Fundamentals,Institutionalized,Classroom,15/11/2017,Programmer,Merrill Corporation,26.56,,,,
P-1023,3,Other,1969,No,Associates,Roseville,No,Associate,15.28,04/10/2017,Removed,17/02/2018,QA,Entered Employment,Classroom,13/03/2018,Project Manager,Loup Ventures,25.17,,,,
P-1024,3,Other,2000,No,Associates,St. Paul,Yes,,,13/08/2016,Removed,26/10/2016,QA,Health/Medical,Online,17/12/2016,Temp Designer,Loup Ventures,26.27,,,,
P-1025,3,Female,1956,Yes,HS/GED,Minneapolis,Yes,Contractor,10.72,06/02/2017,Graduated,13/10/2017,IT Fundamentals,Health/Medical,Classroom,19/08/2018,Junior Engineer,Loup Ventures,27.07,,,,
P-1026,3,Male,1983,Yes,Some College,Plymouth,No,Manager,14.13,27/10/2016,Graduated,03/05/2017,QA,Entered Employment,Online,09/06/2017,Junior Engineer,Bright Health,24.09,,,,
P-1027,3,Female,1952,Unreported,Some College,Robbinsdale,No,Employee,9.57,18/02/2017,Graduated,09/09/2017,IT Fundamentals,Incarcerated,Online,16/02/2018,Temp Designer,Osborn 370,30.93,08/12/2018,Junior Designer,Aftercode,25.36
P-1028,3,Female,1960,No,HS/GED,Plymouth,Yes,Support,12.33,02/11/2017,Withdrew,28/04/2018,IT Fundamentals,Incarcerated,Online,08/05/2018,Junior Engineer,Merrill Corporation,28.03,,,,
P-1029,3,Other,1987,Unreported,Associates,Robbinsdale,No,Employee,14.74,21/04/2017,Withdrew,11/06/2017,UX,Entered Military,Online,07/09/2017,Temp Designer,Bind Benefits,24.92,,,,
P-1030,3,Male,1988,Unreported,Some College,Edina,Yes,Manager,13.75,11/01/2017,Removed,28/10/2017,IT Fundamentals,Entered Employment,Online,21/03/2018,Project Manager,Foodsby,30.12,,,,
P-1031,3,Female,2000,Yes,HS/GED,Robbinsdale,No,Representative,14.34,11/08/2017,Removed,06/05/2018,IT Fundamentals,Enrolled in Additional Training,Online,02/01/2019,Temp Developer,Loup Ventures,24.84,,,,
P-1032,3,Unreported,1955,Yes,Some College,Plymouth,No,Team Member,13.29,18/07/2015,Graduated,07/10/2015,UX,Entered Military,Online,05/09/2016,Web Developer,Bite Squad,31.12,,,,
P-1033,3,Unreported,1971,Unreported,Bachelors,Plymouth,Yes,Cashier,15.23,01/09/2017,Removed,24/02/2018,IT Fundamentals,Enrolled in Additional Training,Classroom,,,,,,,,
P-1034,3,Female,1975,No,Associates,Plymouth,No,Representative,12.47,20/03/2016,Removed,01/06/2016,QA,Entered Military,Classroom,12/12/2016,Junior Developer,Microsoft,28.11,,,,
P-1035,3,Other,1988,No,Some College,Roseville,No,Supervisor,14.37,13/03/2015,Withdrew,08/10/2015,QA,Institutionalized,Online,28/06/2016,Project Manager,Osborn 370,28.91,,,,
P-1036,3,Female,1970,Yes,Some College,Edina,No,,,06/08/2015,Withdrew,08/03/2016,IT Fundamentals,Health/Medical,Online,20/02/2017,Junior Engineer,Merrill Corporation,30.33,,,,
P-1037,3,Unreported,1977,No,Some College,Plymouth,Yes,Support,10.46,30/10/2015,Withdrew,01/02/2016,IT Fundamentals,Enrolled in Additional Training,Online,25/03/2017,Junior Engineer,Loup Ventures,29.91,,,,
P-1038,3,Other,1988,No,HS/GED,Eden Prairie,Yes,Contractor,13.04,05/07/2017,Graduated,12/04/2018,UX,Enrolled in Additional Training,Online,03/10/2018,Designer,Great North Labs,29.17,,,,
P-1039,3,Male,1953,No,Bachelors,Plymouth,No,Support,11.41,02/06/2017,Removed,19/11/2017,IT Fundamentals,Health/Medical,Classroom,17/07/2018,Temp Designer,Upsie,25.26,,,,
P-1040,3,Male,1978,No,Graduate and Beyond,Eden Prairie,Yes,Supervisor,12.24,28/11/2016,Removed,16/06/2017,IT Fundamentals,Enrolled in Additional Training,Online,,,,,,,,
P-1041,3,Unreported,1984,Yes,Bachelors,Brooklyn Center,Yes,Manager,9.50,12/01/2016,Removed,03/03/2016,IT Fundamentals,Institutionalized,Classroom,17/01/2017,Web Developer,Bright Health,29.72,,,,
P-1042,3,Male,1966,Yes,Associates,Roseville,Yes,,,02/12/2017,Graduated,07/03/2018,IT Fundamentals,Incarcerated,Classroom,,,,,,,,
P-1043,3,Female,1958,No,HS/GED,Edina,Yes,Representative,14.69,06/05/2015,Graduated,08/10/2015,UX,Health/Medical,Classroom,03/11/2015,Junior Engineer,Foodsby,29.53,,,,
P-1044,3,Unreported,1950,Yes,Bachelors,Robbinsdale,Yes,Contractor,10.20,11/09/2017,Graduated,09/05/2018,IT Fundamentals,Enrolled in Additional Training,Classroom,10/01/2019,Designer,Aftercode,25.63,,,,
P-1045,3,Unreported,1981,Yes,Associates,Plymouth,No,Manager,10.51,16/04/2016,Removed,17/10/2016,IT Fundamentals,Enrolled in Additional Training,Classroom,19/07/2017,Web Developer,Bright Health,25.57,,,,
P-1046,3,Other,1990,Unreported,HS/GED,Minneapolis,Yes,Cashier,13.91,08/04/2017,Graduated,12/09/2017,IT Fundamentals,Entered Military,Online,,,,,,,,
P-1047,3,Female,2000,Unreported,HS/GED,Plymouth,No,Supervisor,15.66,11/08/2015,Withdrew,02/05/2016,UX,Enrolled in Additional Training,Online,18/03/2017,Project Manager,Upsie,27.79,18/07/2017,Junior Developer,Apple,29.35
P-1048,3,Unreported,1996,No,Some College,St. Paul,No,Cashier,12.54,16/02/2015,Withdrew,15/05/2015,QA,Incarcerated,Online,15/04/2016,Temp Developer,Code 42,24.00,,,,
P-1049,3,Other,1954,Yes,Bachelors,Roseville,No,Team Member,10.61,27/07/2016,Withdrew,08/04/2017,QA,Entered Military,Online,10/12/2017,Junior Engineer,Bind Benefits,27.81,,,,
P-1050,3,Other,1956,No,HS/GED,Robbinsdale,Yes,Contractor,13.45,13/02/2015,Graduated,12/06/2015,QA,Entered Military,Classroom,09/04/2016,Project Manager,Nerdery,26.26,,,,
P-1051,3,Female,1961,Unreported,Associates,Minneapolis,No,Supervisor,12.59,04/03/2017,Graduated,04/05/2017,UX,Incarcerated,Classroom,25/01/2018,IT Support,Bright Health,31.71,,,,
P-1052,3,Female,1970,Yes,Some College,Roseville,No,Team Member,13.66,24/09/2015,Graduated,12/03/2016,QA,Entered Military,Classroom,06/02/2017,Developer,Aftercode,26.41,,,,
P-1053,3,Unreported,1976,No,Graduate and Beyond,Edina,Yes,Supervisor,14.57,12/10/2017,Graduated,04/05/2018,QA,Institutionalized,Online,,,,,,,,
P-1054,3,Other,1975,Unreported,Associates,Robbinsdale,No,Contractor,13.82,14/02/2015,Graduated,14/10/2015,UX,Enrolled in Additional Training,Classroom,10/02/2016,Programmer,Osborn 370,30.35,,,,
P-1055,3,Female,1983,No,Some College,Eden Prairie,Yes,Associate,13.73,28/10/2016,Removed,13/04/2017,QA,Incarcerated,Classroom,28/06/2017,Junior Developer,Great North Labs,28.85,,,,
P-1056,3,Other,1991,Yes,Some College,St. Paul,No,Associate,9.27,28/12/2017,Removed,12/08/2018,QA,Incarcerated,Classroom,16/05/2019,Temp Designer,Bright Health,26.73,,,,
P-1057,3,Male,1956,No,HS/GED,Robbinsdale,No,Contractor,12.77,18/09/2015,Withdrew,22/01/2016,QA,Incarcerated,Online,15/12/2016,Junior Designer,Upsie,30.44,,,,
P-1058,3,Male,1954,Yes,Some College,Brooklyn Center,No,Temp,9.54,06/02/2015,Graduated,01/08/2015,QA,Institutionalized,Online,14/11/2015,Junior Developer,Loup Ventures,26.12,,,,
P-1059,3,Other,1983,Yes,Graduate and Beyond,Brooklyn Center,No,Temp,14.49,31/10/2017,Withdrew,15/03/2018,IT Fundamentals,Entered Employment,Classroom,12/07/2018,Junior Developer,Osborn 370,25.31,,,,
P-1060,3,Unreported,1968,No,Graduate and Beyond,St. Paul,Yes,Temp,11.97,02/10/2015,Withdrew,23/05/2016,UX,Entered Employment,Classroom,08/04/2017,Developer,Loup Ventures,30.99,03/09/2017,Temp Designer,Apple,25.59
P-1061,3,Male,1970,Yes,Associates,Edina,No,,,05/05/2017,Withdrew,07/12/2017,IT Fundamentals,Enrolled in Additional Training,Classroom,,,,,,,,
P-1062,3,Unreported,1952,Yes,Some College,Robbinsdale,No,Employee,15.97,01/03/2015,Graduated,08/07/2015,UX,Entered Military,Classroom,04/08/2015,Temp Designer,Google,25.99,,,,
P-1063,3,Female,2000,Unreported,Some College,Roseville,Yes,Manager,12.29,04/10/2017,Graduated,14/01/2018,QA,Entered Military,Classroom,08/11/2018,Programmer,Microsoft,27.44,,,,
P-1064,3,Female,1999,Yes,Associates,St. Paul,No,Supervisor,14.50,19/02/2015,Withdrew,14/04/2015,UX,Enrolled in Additional Training,Online,20/03/2016,Project Manager,Merrill Corporation,31.32,15/11/2016,IT Support,Osborn 370,24.38
P-1065,3,Unreported,1953,Yes,Some College,Plymouth,No,Representative,12.06,23/04/2016,Graduated,08/06/2016,IT Fundamentals,Enrolled in Additional Training,Classroom,15/04/2017,Temp Developer,Apple,26.87,,,,
P-1066,3,Unreported,1987,No,Some College,Robbinsdale,Yes,Temp,10.36,02/11/2015,Withdrew,23/06/2016,QA,Entered Military,Classroom,02/04/2017,IT Support,Microsoft,27.84,,,,
P-1067,3,Unreported,1966,Unreported,Bachelors,Minneapolis,Yes,Support,12.48,03/08/2016,Graduated,18/05/2017,QA,Incarcerated,Classroom,18/01/2018,Programmer,Branch Messenger,27.38,,,,
P-1068,3,Unreported,1997,Unreported,Associates,Brooklyn Center,Yes,Cashier,14.00,19/12/2017,Removed,14/02/2018,QA,Entered Military,Classroom,21/05/2018,Junior Engineer,Loup Ventures,25.44,,,,
P-1069,3,Female,1994,No,HS/GED,Minneapolis,No,Temp,13.57,31/07/2015,Graduated,19/09/2015,IT Fundamentals,Entered Military,Classroom,06/11/2015,Project Manager,Bind Benefits,24.39,15/06/2016,IT Support,Bite Squad,31.96
P-1070,3,Other,1995,No,Bachelors,St. Paul,No,Cashier,13.00,24/10/2016,Withdrew,08/03/2017,QA,Entered Military,Online,27/09/2017,IT Support,Code 42,31.66,,,,
P-1071,3,Unreported,1953,Unreported,Associates,Edina,No,Temp,12.85,18/05/2015,Removed,14/12/2015,IT Fundamentals,Health/Medical,Online,23/02/2016,IT Support,Bright Health,31.05,,,,
P-1072,3,Unreported,1984,Yes,Some College,Plymouth,Yes,Cashier,13.81,26/08/2016,Withdrew,13/03/2017,IT Fundamentals,Entered Employment,Classroom,21/09/2017,Designer,Upsie,24.32,,,,
P-1073,3,Unreported,1997,No,Associates,Edina,No,Supervisor,9.65,04/11/2017,In Training,,UX,,Online,,,,,,,,
P-1074,3,Female,1954,No,Associates,Robbinsdale,Yes,Contractor,11.23,06/08/2015,Withdrew,24/04/2016,UX,Incarcerated,Online,10/03/2017,Temp Developer,Upsie,28.52,,,,
P-1075,3,Other,1980,Yes,Associates,Minneapolis,No,Employee,13.20,22/02/2016,Graduated,02/11/2016,QA,Enrolled in Additional Training,Online,01/12/2016,Junior Engineer,Great North Labs,31.70,,,,
P-1076,3,Unreported,1996,Yes,Graduate and Beyond,Roseville,Yes,Temp,11.51,27/02/2016,Removed,24/05/2016,QA,Enrolled in Additional Training,Online,19/12/2016,IT Support,Merrill Corporation,31.23,,,,
P-1077,3,Male,1951,No,Bachelors,Roseville,Yes,Associate,12.17,20/07/2017,Withdrew,24/03/2018,UX,Health/Medical,Classroom,19/08/2018,Programmer,Bind Benefits,24.90,,,,
P-1078,3,Female,1961,Unreported,HS/GED,Minneapolis,No,Representative,13.91,23/01/2017,Removed,05/08/2017,QA,Entered Military,Classroom,15/02/2018,Junior Designer,Branch Messenger,30.51,,,,
P-1079,3,Unreported,1953,No,Associates,St. Paul,Yes,Representative,11.00,15/06/2017,Removed,24/09/2017,QA,Entered Military,Online,12/02/2018,Junior Engineer,Aftercode,31.34,,,,
P-1080,3,Unreported,1992,Yes,Some College,Roseville,Yes,Representative,12.20,02/09/2016,Graduated,19/05/2017,QA,Incarcerated,Online,25/05/2018,Temp Designer,Foodsby,24.22,,,,
P-1081,3,Male,1957,No,Graduate and Beyond,Brooklyn Center,No,Cashier,13.62,05/06/2016,Graduated,07/03/2017,IT Fundamentals,Incarcerated,Classroom,02/08/2017,Junior Developer,Microsoft,26.69,,,,
P-1082,3,Female,1960,Unreported,Associates,Brooklyn Center,No,Contractor,10.09,23/08/2017,Withdrew,25/03/2018,IT Fundamentals,Institutionalized,Online,20/02/2019,Junior Engineer,Great North Labs,26.26,,,,
P-1083,3,Male,1992,Unreported,Graduate and Beyond,Minneapolis,Yes,Manager,13.53,24/01/2017,Removed,09/07/2017,IT Fundamentals,Institutionalized,Online,27/11/2017,Programmer,Osborn 370,29.02,,,,
P-1084,3,Female,1959,Unreported,Associates,Plymouth,Yes,Team Member,14.41,05/07/2015,Graduated,15/03/2016,UX,Incarcerated,Online,13/06/2016,Temp Developer,Merrill Corporation,24.87,,,,
P-1085,3,Other,1986,No,Bachelors,Minneapolis,Yes,Cashier,13.82,10/09/2016,Graduated,09/02/2017,QA,Health/Medical,Classroom,25/01/2018,IT Support,Bright Health,26.92,,,,
P-1086,3,Unreported,1958,No,Associates,Edina,No,Representative,9.94,03/01/2016,Removed,25/09/2016,UX,Health/Medical,Online,19/12/2016,IT Support,Osborn 370,24.07,11/02/2017,Developer,Aftercode,29.23
P-1087,3,Female,1970,Unreported,Graduate and Beyond,Roseville,Yes,,,25/07/2017,Removed,20/04/2018,UX,Incarcerated,Online,22/05/2018,Web Developer,Aftercode,26.37,,,,
P-1088,3,Unreported,1959,Unreported,Associates,Brooklyn Center,No,Contractor,15.56,28/04/2015,Withdrew,18/01/2016,QA,Entered Military,Classroom,27/08/2016,Junior Developer,Nerdery,28.47,,,,
P-1089,3,Unreported,1964,No,Graduate and Beyond,Robbinsdale,Yes,Manager,13.05,16/10/2017,Removed,18/04/2018,IT Fundamentals,Health/Medical,Online,06/07/2018,Junior Developer,Microsoft,28.18,,,,
P-1090,3,Unreported,1994,Yes,Some College,Robbinsdale,Yes,Contractor,12.66,18/02/2016,Removed,23/08/2016,UX,Institutionalized,Online,16/11/2016,Developer,Apple,28.75,,,,
P-1091,3,Female,1953,Unreported,Bachelors,Minneapolis,No,Representative,10.41,19/04/2016,Graduated,02/11/2016,IT Fundamentals,Entered Military,Online,06/03/2017,IT Support,Branch Messenger,25.90,,,,
P-1092,3,Male,1963,No,Graduate and Beyond,Eden Prairie,No,Temp,11.72,26/08/2017,Removed,28/05/2018,QA,Institutionalized,Online,,,,,,,,
P-1093,3,Male,1975,No,Graduate and Beyond,Edina,No,,,19/07/2015,Graduated,05/04/2016,QA,Entered Military,Classroom,14/02/2017,Developer,Osborn 370,31.60,,,,
P-1094,3,Female,1950,Yes,Graduate and Beyond,St. Paul,Yes,Temp,15.66,28/05/2015,Graduated,08/11/2015,IT Fundamentals,Entered Military,Online,17/02/2016,Developer,Code 42,31.00,,,,
P-1095,3,Female,1971,Yes,Bachelors,Eden Prairie,Yes,Manager,10.47,23/11/2017,Withdrew,21/01/2018,QA,Enrolled in Additional Training,Classroom,27/01/2019,Temp Designer,Upsie,28.17,,,,
P-1096,3,Female,1956,Unreported,Some College,St. Paul,No,Contractor,12.49,19/06/2015,Graduated,19/01/2016,QA,Incarcerated,Classroom,23/08/2016,Programmer,Merrill Corporation,28.89,,,,
P-1097,3,Male,2000,Unreported,Graduate and Beyond,Brooklyn Center,Yes,Support,12.27,08/05/2016,Removed,20/01/2017,UX,Entered Military,Online,26/02/2018,Temp Designer,Bind Benefits,31.49,,,,
P-1098,3,Male,1967,Unreported,Some College,Edina,Yes,Associate,14.05,19/10/2017,Graduated,17/03/2018,IT Fundamentals,Entered Employment,Classroom,21/02/2019,Junior Engineer,Branch Messenger,28.17,28/08/2019,Developer,Merrill Corporation,31.91
P-1099,3,Other,1980,Yes,Graduate and Beyond,Robbinsdale,No,Cashier,14.72,23/06/2017,Removed,24/09/2017,QA,Health/Medical,Classroom,15/01/2018,Junior Designer,Foodsby,30.47,,,,
P-1100,3,Unreported,1993,No,Associates,Robbinsdale,Yes,Temp,11.98,18/05/2016,Removed,20/12/2016,IT Fundamentals,Entered Military,Online,03/08/2017,Developer,Great North Labs,26.65,,,,
