person_id,partner_id,gender,year_of_birth,person_of_color,education_level,city_of_residence,scholarship_recipient,previous_job_experience,pre_training_wage,training_start_date,training_status,training_end_date,training_type,exit_status,classroom_or_online,job_placement_date,hiring_job_title,hiring_company,starting_wage,second_job_placement_date,second_job_title,second_job_company,second_starting_wage
C-1038,4,Male,1959,Unreported,HS/GED,Eden Prairie,Yes,Employee,13.25,09/02/2015,Graduated,24/11/2015,IT Fundamentals,Incarcerated,Online,20/02/2016,Junior Developer,Osborn 370,31.85,23/03/2016,Designer,Code 42,29.77
C-1039,4,Other,1971,Unreported,Graduate and Beyond,Roseville,No,,,29/06/2015,Graduated,15/01/2016,UX,Incarcerated,Online,21/06/2016,IT Support,Code 42,30.47,,,,
C-1040,4,Female,1983,Unreported,HS/GED,Brooklyn Center,Yes,Team Member,14.08,31/12/2015,Graduated,22/02/2016,IT Fundamentals,Entered Employment,Online,17/04/2016,Junior Designer,Aftercode,26.10,,,,
C-1041,4,Unreported,1982,Yes,Associates,Minneapolis,No,Support,14.50,03/01/2017,Withdrew,10/04/2017,IT Fundamentals,Health/Medical,Online,01/05/2017,Temp Developer,Branch Messenger,28.58,,,,
C-1042,4,Unreported,1982,No,HS/GED,Robbinsdale,Yes,Contractor,10.17,07/05/2016,Removed,02/09/2016,IT Fundamentals,Health/Medical,Online,21/11/2016,Junior Developer,Aftercode,31.82,,,,
C-1043,4,Unreported,1991,No,Associates,Brooklyn Center,Yes,Employee,12.04,28/05/2017,Withdrew,12/07/2017,QA,Institutionalized,Online,21/04/2018,Temp Designer,Apple,29.15,,,,
C-1044,4,Unreported,1985,Unreported,Bachelors,Edina,Yes,Support,10.67,02/08/2016,Withdrew,22/02/2017,IT Fundamentals,Entered Military,Classroom,26/08/2017,Developer,Nerdery,29.71,,,,
C-1045,4,Female,1985,Unreported,Some College,Robbinsdale,Yes,Support,10.81,29/12/2015,Removed,24/05/2016,IT Fundamentals,Enrolled in Additional Training,Classroom,18/08/2016,Programmer,Upsie,30.28,17/01/2017,Web Developer,Code 42,26.88
C-1046,4,Other,1969,No,Graduate and Beyond,Roseville,Yes,Associate,9.56,06/11/2016,Withdrew,18/06/2017,UX,Institutionalized,Classroom,23/01/2018,IT Support,Microsoft,27.33,03/12/2018,Junior Designer,Bright Health,27.61
C-1047,4,Male,1978,Yes,HS/GED,Edina,Yes,Temp,9.07,25/03/2015,Graduated,04/05/2015,IT Fundamentals,Health/Medical,Classroom,07/02/2016,Designer,Merrill Corporation,27.18,,,,
C-1048,4,Other,1952,Unreported,HS/GED,Brooklyn Center,Yes,Employee,12.10,13/09/2017,Removed,26/04/2018,QA,Entered Employment,Classroom,08/08/2018,IT Support,Great North Labs,27.84,01/07/2019,Programmer,Upsie,27.91
C-1049,4,Unreported,1992,Yes,Some College,Edina,No,Representative,11.20,24/04/2016,Removed,13/09/2016,UX,Entered Military,Classroom,02/03/2017,Junior Designer,Microsoft,28.64,,,,
C-1050,4,Other,1962,Yes,Graduate and Beyond,Edina,No,Supervisor,14.90,10/01/2016,Graduated,27/07/2016,UX,Health/Medical,Classroom,11/07/2017,Temp Designer,Merrill Corporation,31.65,,,,
C-1051,4,Unreported,1992,Yes,Graduate and Beyond,Eden Prairie,No,Temp,11.90,16/08/2015,Withdrew,22/10/2015,QA,Health/Medical,Classroom,25/08/2016,IT Support,Apple,31.96,,,,
C-1052,4,Unreported,1953,Unreported,Some College,Roseville,Yes,Temp,10.17,01/11/2015,Graduated,08/07/2016,UX,Entered Military,Classroom,21/11/2016,Programmer,Bite Squad,31.05,,,,
C-1053,4,Male,2000,Unreported,Graduate and Beyond,Eden Prairie,No,Contractor,13.41,14/08/2017,Removed,17/12/2017,UX,Enrolled in Additional Training,Classroom,02/07/2018,Developer,Bite Squad,30.29,05/04/2019,Project Manager,Bite Squad,24.68
C-1054,4,Male,1976,Unreported,Some College,Plymouth,No,,,14/05/2016,Graduated,25/07/2016,IT Fundamentals,Institutionalized,Online,21/08/2016,Developer,Branch Messenger,26.04,,,,
C-1055,4,Unreported,1960,Yes,HS/GED,Roseville,No,Employee,10.89,09/05/2015,Withdrew,08/01/2016,IT Fundamentals,Entered Employment,Online,13/10/2016,Project Manager,Nerdery,27.29,,,,
C-1056,4,Unreported,1976,Yes,Graduate and Beyond,Plymouth,Yes,,,18/02/2017,Removed,16/04/2017,QA,Entered Employment,Online,21/09/2017,Programmer,Foodsby,26.76,,,,
C-1057,4,Other,1956,Yes,Some College,Edina,Yes,Team Member,15.58,29/10/2016,Graduated,13/05/2017,QA,Entered Employment,Classroom,13/02/2018,Temp Designer,Foodsby,31.83,,,,
C-1058,4,Female,1985,Yes,Associates,Robbinsdale,Yes,Contractor,12.93,01/08/2015,Withdrew,13/10/2015,IT Fundamentals,Incarcerated,Online,12/11/2015,Temp Designer,Aftercode,29.42,,,,
C-1059,4,Male,1975,Yes,Bachelors,Plymouth,Yes,,,20/07/2017,Withdrew,02/12/2017,IT Fundamentals,Health/Medical,Classroom,,,,,,,,
C-1060,4,Unreported,1975,Yes,Associates,Roseville,Yes,Supervisor,10.75,11/03/2017,Graduated,14/11/2017,IT Fundamentals,Health/Medical,Classroom,,,,,,,,
C-1061,4,Male,2000,Unreported,Some College,Roseville,No,Supervisor,9.40,12/04/2017,Withdrew,13/10/2017,IT Fundamentals,Entered Employment,Online,,,,,,,,
C-1062,4,Unreported,1988,Yes,Bachelors,St. Paul,Yes,Team Member,12.19,09/03/2016,Graduated,04/11/2016,UX,Entered Military,Classroom,21/08/2017,Programmer,Aftercode,28.67,,,,
C-1063,4,Female,1999,No,Some College,Edina,Yes,Contractor,14.43,30/09/2016,Withdrew,23/04/2017,QA,Entered Employment,Classroom,11/04/2018,IT Support,Microsoft,28.28,,,,
C-1064,4,Unreported,1956,Unreported,Associates,Roseville,No,Cashier,13.79,12/02/2015,Withdrew,08/04/2015,UX,Enrolled in Additional Training,Online,03/03/2016,Junior Engineer,Nerdery,29.65,07/04/2016,Programmer,Upsie,26.72
C-1065,4,Unreported,1970,Yes,Associates,Minneapolis,No,Supervisor,15.29,20/12/2016,Removed,06/06/2017,IT Fundamentals,Incarcerated,Classroom,02/04/2018,Temp Designer,Loup Ventures,30.91,,,,
C-1066,4,Unreported,1983,No,Bachelors,Brooklyn Center,Yes,Cashier,9.53,08/02/2017,Graduated,21/05/2017,IT Fundamentals,Health/Medical,Online,01/06/2017,Programmer,Bright Health,27.02,,,,
C-1067,4,Unreported,1983,Unreported,Some College,Brooklyn Center,Yes,Contractor,10.12,04/06/2017,Removed,12/09/2017,IT Fundamentals,Enrolled in Additional Training,Online,21/11/2017,Programmer,Microsoft,27.52,,,,
C-1068,4,Male,1952,Yes,Bachelors,Roseville,No,Cashier,11.24,12/06/2015,Removed,25/08/2015,QA,Entered Employment,Online,18/12/2015,Developer,Apple,27.93,,,,
C-1069,4,Female,1978,Unreported,HS/GED,Roseville,No,Supervisor,13.60,05/04/2016,Removed,27/10/2016,IT Fundamentals,Health/Medical,Online,09/01/2017,Web Developer,Microsoft,31.97,,,,
C-1070,4,Female,1996,Unreported,HS/GED,Minneapolis,No,Cashier,12.78,30/07/2015,Removed,12/01/2016,UX,Institutionalized,Online,11/08/2016,Junior Engineer,Upsie,26.15,,,,
C-1071,4,Unreported,1989,Yes,Associates,Minneapolis,Yes,Support,14.16,20/02/2017,Removed,13/04/2017,QA,Enrolled in Additional Training,Online,21/08/2017,Junior Designer,Loup Ventures,24.59,,,,
C-1072,4,Other,1956,Yes,Bachelors,St. Paul,No,Supervisor,9.69,04/08/2015,Removed,06/10/2015,QA,Entered Employment,Classroom,09/09/2016,Programmer,Bright Health,27.52,,,,
C-1073,4,Unreported,1994,No,Bachelors,St. Paul,Yes,Employee,14.41,16/01/2016,Withdrew,26/04/2016,UX,Entered Military,Classroom,17/03/2017,Designer,Bind Benefits,28.78,,,,
C-1074,4,Other,1956,No,Some College,Minneapolis,No,Manager,15.02,13/04/2017,Graduated,18/10/2017,IT Fundamentals,Entered Military,Classroom,12/09/2018,Programmer,Bite Squad,24.11,,,,
C-1075,4,Other,1994,No,Bachelors,Edina,No,,,27/06/2016,Removed,21/03/2017,QA,Entered Military,Online,10/08/2017,Project Manager,Microsoft,29.23,03/04/2018,Junior Engineer,Code 42,27.44
C-1076,4,Female,1963,Yes,Associates,Minneapolis,No,Supervisor,15.56,11/09/2015,Graduated,09/11/2015,UX,Health/Medical,Online,13/02/2016,Junior Designer,Merrill Corporation,29.87,,,,
C-1077,4,Male,1981,Unreported,Some College,Eden Prairie,Yes,Employee,12.75,08/02/2015,Removed,14/06/2015,QA,Entered Military,Online,15/06/2016,Junior Designer,Foodsby,29.33,,,,
C-1078,4,Female,1965,No,Graduate and Beyond,Minneapolis,Yes,Contractor,9.74,21/05/2016,Graduated,27/07/2016,UX,Health/Medical,Classroom,17/08/2016,Developer,Code 42,29.22,,,,
C-1079,4,Male,1965,Yes,Some College,St. Paul,No,Supervisor,12.08,06/12/2016,Removed,03/06/2017,QA,Health/Medical,Online,07/05/2018,IT Support,Bind Benefits,25.66,05/11/2018,IT Support,Google,29.20
C-1080,4,Unreported,1981,No,Some College,Edina,Yes,Team Member,10.58,03/08/2015,Removed,19/02/2016,QA,Health/Medical,Classroom,05/05/2016,Junior Engineer,Merrill Corporation,26.48,,,,
C-1081,4,Other,1951,No,Some College,Plymouth,Yes,Cashier,9.77,22/03/2015,Withdrew,26/12/2015,UX,Entered Employment,Classroom,15/06/2016,Web Developer,Osborn 370,31.61,04/05/2017,IT Support,Upsie,24.23
C-1082,4,Female,1971,No,HS/GED,Roseville,No,Cashier,12.74,22/11/2016,Graduated,06/02/2017,UX,Entered Employment,Online,23/02/2018,Temp Designer,Upsie,29.20,08/02/2019,Junior Engineer,Code 42,24.51
C-1083,4,Other,1967,No,Graduate and Beyond,Eden Prairie,No,Representative,14.03,10/01/2017,Removed,09/03/2017,UX,Incarcerated,Classroom,06/06/2017,IT Support,Loup Ventures,31.22,,,,
C-1084,4,Male,1972,Unreported,Associates,Roseville,No,Temp,14.54,20/05/2015,Withdrew,14/02/2016,IT Fundamentals,Entered Military,Online,04/02/2017,Junior Engineer,Branch Messenger,29.45,16/09/2017,Junior Designer,Bite Squad,24.38
C-1085,4,Male,1968,Unreported,Associates,Brooklyn Center,Yes,Support,12.28,30/05/2017,Removed,08/08/2017,UX,Institutionalized,Online,16/05/2018,IT Support,Loup Ventures,28.69,,,,
C-1086,4,Other,1994,No,Associates,Eden Prairie,Yes,Contractor,12.57,08/12/2015,Withdrew,11/03/2016,IT Fundamentals,Institutionalized,Classroom,10/02/2017,IT Support,Google,30.87,05/04/2017,Developer,Foodsby,25.16
C-1087,4,Unreported,1988,No,HS/GED,Roseville,Yes,,,09/07/2015,Removed,06/12/2015,UX,Entered Employment,Classroom,19/12/2016,Temp Designer,Branch Messenger,26.07,,,,
C-1088,4,Other,1980,No,Associates,Robbinsdale,Yes,,,04/08/2016,Removed,09/12/2016,UX,Entered Military,Classroom,06/03/2017,Junior Engineer,Code 42,28.12,,,,
C-1089,4,Unreported,1969,Unreported,Some College,St. Paul,Yes,Temp,11.74,27/11/2015,Withdrew,11/08/2016,UX,Institutionalized,Online,12/11/2016,IT Support,Microsoft,27.86,,,,
C-1090,4,Male,1965,Unreported,HS/GED,Plymouth,No,,,22/05/2017,Withdrew,04/08/2017,QA,Entered Military,Online,20/03/2018,Junior Developer,Loup Ventures,28.60,25/04/2019,Programmer,Osborn 370,28.24
C-1091,4,Unreported,1988,Unreported,HS/GED,St. Paul,Yes,Manager,14.37,26/10/2017,Removed,07/12/2017,UX,Entered Military,Online,04/03/2018,Temp Designer,Google,26.62,,,,
C-1092,4,Male,1950,No,HS/GED,Robbinsdale,Yes,Associate,9.17,24/06/2016,Removed,08/10/2016,IT Fundamentals,Entered Military,Online,13/10/2017,Programmer,Upsie,31.06,,,,
C-1093,4,Other,1997,Yes,Some College,Plymouth,No,Employee,12.25,19/09/2017,Graduated,17/03/2018,QA,Entered Employment,Classroom,07/08/2018,Temp Developer,Osborn 370,25.40,,,,
C-1094,4,Male,1993,Yes,Some College,Edina,No,Supervisor,14.55,08/12/2016,Removed,04/03/2017,IT Fundamentals,Entered Employment,Online,10/10/2017,Temp Developer,Bright Health,30.75,05/02/2018,Web Developer,Loup Ventures,28.81
C-1095,4,Unreported,1967,No,Graduate and Beyond,Robbinsdale,No,Contractor,12.95,01/05/2016,Withdrew,21/02/2017,UX,Health/Medical,Online,24/02/2018,Junior Designer,Code 42,26.77,,,,
C-1096,4,Male,1963,Yes,Some College,Plymouth,Yes,Cashier,11.50,31/10/2017,Graduated,19/02/2018,QA,Entered Military,Classroom,,,,,,,,
C-1097,4,Female,1957,No,Some College,Robbinsdale,No,Employee,14.34,15/05/2016,Withdrew,22/11/2016,QA,Entered Employment,Online,15/02/2017,Junior Designer,Osborn 370,26.19,,,,
C-1098,4,Male,1998,Unreported,Bachelors,St. Paul,Yes,Contractor,15.54,09/04/2016,Removed,22/07/2016,QA,Health/Medical,Classroom,11/01/2017,Junior Engineer,Bright Health,24.91,,,,
C-1099,4,Female,1997,No,Some College,St. Paul,Yes,,,13/05/2017,Withdrew,26/07/2017,IT Fundamentals,Institutionalized,Classroom,15/11/2017,Programmer,Loup Ventures,31.40,,,,
C-1100,4,Unreported,1969,Unreported,Associates,Plymouth,No,Associate,11.52,31/05/2015,Graduated,20/10/2015,IT Fundamentals,Entered Employment,Online,24/05/2016,Project Manager,Upsie,29.54,,,,
